,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added
2150,Angry Birds AR: Isle of Pigs,0,1,['iOS'],1,['App Store'],['Simulation'],2019-04-29,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2151,Moncage Demo,0,2,"['PC', 'Apple Macintosh']",1,['itch.io'],['Puzzle'],2019-02-07,0.0,0,0,,"{'toplay': 1, 'dropped': 1}"
2152,테일즈샵 퍼즐,0,1,['PC'],1,['Steam'],"['Casual', 'Indie']",2019-09-30,0.0,0,0,,"{'owned': 1, 'beaten': 1}"
2153,Café Rouge DEMO,0,2,"['PC', 'Apple Macintosh']",1,['itch.io'],[],2019-10-27,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2154,Garfield Kart Furious Racing,0,2,"['Xbox', 'Nintendo']",2,"['Xbox Store', 'Nintendo Store']",[],2019-11-19,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2155,Myth Bearer,0,1,['PC'],1,['itch.io'],"['Adventure', 'RPG', 'Puzzle']",2019-10-03,0.0,0,0,,"{'yet': 1, 'owned': 1}"
2156,The Ancient Labyrinth,0,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Indie', 'Adventure', 'Action']",2019-09-25,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2157,NEKOPARA Vol.2,0,2,"['PlayStation', 'Nintendo']",2,"['PlayStation Store', 'Nintendo Store']",[],2019-02-14,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2158,Need for Speed Heat - HTML5 Edition,0,1,['Web'],1,['itch.io'],['Racing'],2019-11-09,0.0,0,2,,"{'beaten': 1, 'dropped': 1}"
2159,Fishing Sim World: Pro Tour + Giant Carp Pack,0,1,['PlayStation'],None,None,[],2019-07-18,0.0,0,0,,{'owned': 2}
2160,Monochrome Order,0,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Casual', 'Strategy', 'Adventure', 'RPG']",2019-09-04,0.0,0,0,,{'owned': 2}
2161,Space Duet,0,1,['PC'],1,['itch.io'],['Action'],2019-12-18,0.0,0,0,,"{'yet': 1, 'owned': 1}"
2162,PAC-MAN Party Royale,0,1,['iOS'],1,['App Store'],['Arcade'],2019-10-18,0.0,0,0,,"{'yet': 1, 'owned': 1}"
2163,Word Laces,0,1,['iOS'],1,['App Store'],['Puzzle'],2019-09-13,0.0,0,0,,"{'yet': 1, 'playing': 1}"
2164,Akash: Path of the Five,0,4,"['PC', 'PlayStation', 'Apple Macintosh', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']","['Indie', 'Adventure', 'Simulation']",2019-06-25,0.0,0,1,,{'owned': 2}
2165,EarthX,1,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'itch.io']","['Educational', 'Action', 'Strategy', 'Simulation', 'Indie']",2019-01-27,0.0,0,0,,{'owned': 2}
2166,Abstractions,0,1,['PC'],1,['itch.io'],[],2019-10-11,0.0,0,1,,"{'beaten': 1, 'toplay': 1}"
2167,Flappy Bird with Foxie Chan,0,1,['Android'],1,['itch.io'],['Platformer'],2019-06-28,0.0,0,0,,{'playing': 2}
2168,Discomfort,0,1,['PC'],1,['itch.io'],[],2019-08-14,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2169,Samael the Legacy of Ophiuchus,0,1,['PlayStation'],1,['PlayStation Store'],['Action'],2019-01-08,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2170,ACA NEOGEO THE KING OF FIGHTERS 2003,0,2,"['Xbox', 'Nintendo']",2,"['Xbox Store', 'Nintendo Store']",[],2019-02-21,0.0,0,0,,{'owned': 2}
2171,It Stares Back,0,1,['PC'],1,['Steam'],"['Adventure', 'Action', 'RPG', 'Strategy', 'Indie']",2019-06-25,0.0,0,1,,"{'owned': 1, 'playing': 1}"
2172,Arcade Archives DONKEY KONG 3,0,1,['Nintendo'],1,['Nintendo Store'],[],2019-04-05,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2173,TTV3,0,1,['PC'],1,['Steam'],"['Casual', 'Indie', 'Action']",2019-07-18,0.0,0,0,,{'owned': 2}
2174,Let's Play: Ancient Greek Punishment: Five-in-One,0,1,['Web'],None,None,['Puzzle'],2019-08-21,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2175,Astro Golf,0,5,"['PC', 'iOS', 'Android', 'Apple Macintosh', 'Linux']",3,"['App Store', 'Google Play', 'itch.io']","['Casual', 'Indie', 'Sports']",2019-09-23,0.0,0,0,,{'owned': 2}
2176,Asteroid Run: No Questions Asked,0,3,"['PC', 'Apple Macintosh', 'Linux']",1,['Steam'],"['Indie', 'Adventure', 'RPG']",2019-06-20,0.0,0,0,,"{'owned': 1, 'beaten': 1}"
2177,Uriel’s Chasm 3: Gelshock,4,1,['PC'],1,['Steam'],['Strategy'],2019-03-29,0.0,0,0,,{'owned': 2}
2178,Biolab Wars,0,4,"['PC', 'Apple Macintosh', 'Linux', 'Nintendo']",2,"['Steam', 'Nintendo Store']","['Indie', 'Action']",2019-11-15,0.0,0,0,,{'owned': 2}
2179,Nuclear Platypus Adventure,0,2,"['PC', 'Apple Macintosh']",1,['itch.io'],"['Platformer', 'Action']",2019-10-27,0.0,0,1,,{'owned': 2}
2180,Human: Fall Flat + Ice Level,0,1,['Xbox'],1,['Xbox Store'],[],2019-11-08,0.0,0,0,,"{'owned': 1, 'beaten': 1}"
2181,POSTAL: RUN! - Full Edition,0,1,['PC'],1,['itch.io'],['Action'],2019-12-31,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2182,Please Answer Carefully,0,1,['Web'],1,['itch.io'],[],2019-11-24,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
