,name,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,added,month
10,Rise of the Tomb Raider,4,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']",4,"['Steam', 'Xbox Store', 'App Store', 'Xbox 360 Store']",2,"['Platformer', 'Action']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Exploration', 'Female Protagonist', 'Great Soundtrack', 'Lara Croft', 'Open World', 'Parkour', 'Quick-Time Events', 'RPG', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards']",2015-11-10,4.0,4,1523,86,"{'yet': 310, 'owned': 4191, 'beaten': 1359, 'toplay': 222, 'dropped': 183, 'playing': 109}",11
11,HITMAN,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Shooter', 'Action']","['Full controller support', 'Steam Achievements', 'Assassin', 'Steam Cloud', 'Atmospheric', 'Crime', 'Episodic', 'Great Soundtrack', 'Heist', 'Illuminati', 'Nudity', 'Open World', 'Sandbox', 'Singleplayer', 'Stealth', 'Story Rich', 'Tactical', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards']",2017-11-16,3.91,4,1207,83,"{'yet': 434, 'owned': 4718, 'beaten': 553, 'toplay': 207, 'dropped': 373, 'playing': 87}",11
12,Batman: Arkham Knight,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']",1,['Action'],"['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Batman', ""Beat 'em up"", 'Comic Book', 'Dark', 'Detective', 'Horror', 'Mature', 'Open World', 'Sandbox', 'Singleplayer', 'Stealth', 'Story Rich', 'Superhero', 'Third Person', 'steam-trading-cards']",2015-06-23,4.21,4,1515,81,"{'yet': 391, 'owned': 4134, 'beaten': 1249, 'toplay': 199, 'dropped': 219, 'playing': 103}",6
13,Uncharted 4: A Thief’s End,1,['PlayStation'],1,['PlayStation Store'],2,"['Adventure', 'Action']","['Action-Adventure', 'Atmospheric', '3rd-Person Perspective']",2016-05-10,4.53,5,2255,93,"{'yet': 218, 'owned': 3613, 'beaten': 1915, 'toplay': 337, 'dropped': 88, 'playing': 73}",5
14,Deus Ex: Mankind Divided,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Action', 'RPG']","['Full controller support', 'Atmospheric', 'Conspiracy', 'Cyberpunk', 'Dystopian', 'First-Person', 'FPS', 'Futuristic', 'Great Soundtrack', 'Illuminati', 'Open World', 'RPG', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'Transhumanism']",2016-08-22,3.95,4,1245,83,"{'yet': 475, 'owned': 4188, 'beaten': 765, 'toplay': 201, 'dropped': 313, 'playing': 87}",8
15,Marvel's Spider-Man,1,['PlayStation'],1,['PlayStation Store'],2,"['Adventure', 'Action']","['Action-Adventure', 'America', 'Atmospheric', ""Beat 'em up"", 'Cinematic', 'Comic Book', 'Exploration', 'Open World', 'Singleplayer', 'Superhero', '3rd-Person Perspective', 'exclusive', 'true exclusive', 'new york']",2018-09-07,4.46,5,2032,87,"{'yet': 166, 'owned': 3071, 'beaten': 1535, 'toplay': 671, 'dropped': 81, 'playing': 217}",9
16,Dark Souls III,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Action', 'RPG']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Atmospheric', 'Character Customization', 'Co-op', 'Dark Fantasy', 'Difficult', 'Exploration', 'Great Soundtrack', 'Horror', 'Lore-Rich', 'Multiplayer', 'Open World', 'PvP', 'Replay Value', 'RPG', 'Singleplayer', 'Story Rich', 'Third Person', 'cooperative', 'steam-trading-cards']",2016-04-11,4.39,5,1415,89,"{'yet': 337, 'owned': 3590, 'beaten': 936, 'toplay': 302, 'dropped': 283, 'playing': 186}",4
17,For Honor,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']",2,"['Massively Multiplayer', 'Action']","['Partial Controller Support', 'Atmospheric', 'Co-op', 'Fantasy', 'Gore', 'Hack and Slash', 'Medieval', 'MOBA', 'Multiplayer', 'Online Co-Op', 'PvP', 'Realistic', 'RPG', 'Singleplayer', 'Story Rich', 'Swordplay', 'Third Person', 'War', 'Online multiplayer', 'cooperative', 'steam-trading-cards']",2017-02-13,3.32,4,1060,76,"{'yet': 397, 'owned': 4099, 'beaten': 160, 'toplay': 54, 'dropped': 592, 'playing': 86}",2
18,Bloodborne,1,['PlayStation'],1,['PlayStation Store'],2,"['Action', 'RPG']","['Atmospheric', 'Character Customization', 'Dark Fantasy', 'Exploration', 'Story Rich', 'Third Person', 'exclusive', 'true exclusive']",2015-03-24,4.38,5,1595,92,"{'yet': 316, 'owned': 3358, 'beaten': 856, 'toplay': 261, 'dropped': 364, 'playing': 194}",3
19,Prey (2017),3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",3,"['Shooter', 'Action', 'RPG']","['Full controller support', 'Aliens', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Exploration', 'First-Person', 'FPS', 'Futuristic', 'Great Soundtrack', 'Heist', 'Horror', 'Open World', 'RPG', 'Sci-fi', 'Singleplayer', 'Space', 'Stealth', 'Story Rich', 'Survival Horror', 'Violent', 'steam-trading-cards', 'Immersive Sim']",2017-05-03,4.29,5,1252,80,"{'yet': 333, 'owned': 3091, 'beaten': 808, 'toplay': 444, 'dropped': 302, 'playing': 191}",5
