,name,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,added,month
137,Dead by Daylight,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Nintendo Store', 'Google Play']",1,['Action'],"['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Blood', 'Comedy', 'Co-op', 'Difficult', 'First-Person', 'Gore', 'Horror', 'Mature', 'Multiplayer', 'Online Co-Op', 'Stealth', 'Survival', 'Survival Horror', 'Team-Based', 'Third Person', 'Violent', 'steam-trading-cards']",2016-06-14,3.45,4,456,72,"{'yet': 93, 'owned': 1902, 'beaten': 56, 'toplay': 25, 'dropped': 212, 'playing': 83}",6
138,Furi,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",2,"['Arcade', 'Action']","['Full controller support', 'Anime', 'Steam Achievements', 'Atmospheric', 'Steam Leaderboards', ""Beat 'em up"", 'Bullet Hell', 'Character Action Game', 'Controller', 'Cyberpunk', 'Difficult', 'Fast-Paced', 'Great Soundtrack', 'Hack and Slash', 'Sci-fi', ""Shoot 'Em Up"", 'Singleplayer', 'Spectacle fighter', 'Story Rich', 'Stylized', 'Top-Down', 'Boss battle', 'steam-trading-cards']",2016-07-04,3.83,4,454,76,"{'yet': 148, 'owned': 1706, 'beaten': 198, 'toplay': 67, 'dropped': 191, 'playing': 46}",7
139,Dark Souls: Remastered,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",1,['Action'],"['Full controller support', 'Action RPG', 'Steam Achievements', 'Atmospheric', 'Character Customization', 'Co-op', 'Dark', 'Dark Fantasy', 'Difficult', 'Exploration', 'Great Soundtrack', 'Lore-Rich', 'Mature', 'Multiplayer', 'Open World', 'Replay Value', 'RPG', 'Singleplayer', 'Story Rich', 'Third Person', 'cooperative']",2018-05-23,4.39,5,680,84,"{'yet': 136, 'owned': 1371, 'beaten': 340, 'toplay': 272, 'dropped': 118, 'playing': 107}",5
140,The LEGO NINJAGO Movie Video Game,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",2,"['Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'LEGO', 'Local Co-Op', 'Local Multiplayer', 'Singleplayer', 'cooperative']",2017-09-22,3.37,4,57,70,"{'yet': 80, 'owned': 2220, 'beaten': 16, 'toplay': 1, 'dropped': 14, 'playing': 9}",9
141,Steep,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']",3,"['Action', 'Simulation', 'Sports']","['Partial Controller Support', 'Atmospheric', 'Co-op', 'Exploration', 'First-Person', 'FPS', 'Great Soundtrack', 'Multiplayer', 'Open World', 'Realistic', 'Sandbox', 'Singleplayer', 'Third Person', 'VR', 'Online multiplayer', 'cooperative', 'snowboarding', 'steam-trading-cards']",2016-12-02,3.41,4,571,72,"{'yet': 129, 'owned': 1688, 'beaten': 63, 'toplay': 25, 'dropped': 348, 'playing': 66}",12
142,Mass Effect: Andromeda,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Action', 'RPG']","['Romance', 'Sci-fi', 'Space', 'Story Rich', '3rd-Person Perspective']",2017-03-21,3.23,3,685,73,"{'yet': 131, 'owned': 1279, 'beaten': 431, 'toplay': 143, 'dropped': 243, 'playing': 61}",3
143,Sniper Elite 4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Shooter', 'Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Atmospheric', 'Co-op', 'FPS', 'Gore', 'Multiplayer', 'Nudity', 'Open World', 'Singleplayer', 'Sniper', 'Stealth', 'Tactical', 'Third Person', 'Third-Person Shooter', 'Violent', 'War', 'World War II', 'cooperative', 'steam-trading-cards']",2017-02-13,3.52,4,395,78,"{'yet': 136, 'owned': 1775, 'beaten': 140, 'toplay': 44, 'dropped': 154, 'playing': 36}",2
144,Stellaris,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']",2,"['Strategy', 'Simulation']","['Cross-Platform Multiplayer', '4X', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Building', 'Exploration', 'Grand Strategy', 'Great Soundtrack', 'Moddable', 'Multiplayer', 'Open World', 'Real-Time with Pause', 'Replay Value', 'RTS', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich']",2016-05-08,4.23,4,383,78,"{'yet': 104, 'owned': 1794, 'beaten': 101, 'toplay': 37, 'dropped': 136, 'playing': 105}",5
145,Enter the Gungeon,5,"['PC', 'PlayStation', 'Xbox', 'Linux', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']",4,"['Indie', 'Shooter', 'Adventure', 'Action']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Bullet Hell', 'Co-op', 'Difficult', 'Dungeon Crawler', 'Funny', 'Great Soundtrack', 'Local Co-Op', 'Loot', 'Multiplayer', 'Pixel Graphics', ""Shoot 'Em Up"", 'Singleplayer', 'Split Screen', 'Top-Down Shooter', 'Twin Stick Shooter', 'achievements', 'controller support', 'cooperative', 'Roguelite', 'Roguelike']",2016-04-04,4.19,4,530,84,"{'yet': 142, 'owned': 1524, 'beaten': 114, 'toplay': 44, 'dropped': 275, 'playing': 148}",4
146,Frostpunk,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Strategy', 'Simulation']","['Atmospheric', 'Building', 'Choices Matter', 'City Builder', 'Dark', 'Difficult', 'Economy', 'Management', 'Post-apocalyptic', 'Real-Time with Pause', 'Resource Management', 'Singleplayer', 'Survival']",2018-04-24,4.19,4,424,85,"{'yet': 116, 'owned': 1523, 'beaten': 204, 'toplay': 197, 'dropped': 119, 'playing': 69}",4
147,HELLDIVERS,3,"['PC', 'PlayStation']",1,['Steam'],1,['Action'],"['Full controller support', '4 Player Local', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Comedy', 'Co-op', 'Difficult', 'Funny', 'Hack and Slash', 'Isometric', 'Local Co-Op', 'Mechs', 'Multiplayer', 'Online Co-Op', 'Sci-fi', 'Singleplayer', 'Space', 'Split Screen', 'Survival', 'Top-Down', 'Top-Down Shooter', 'Twin Stick Shooter', 'cooperative']",2015-12-07,3.57,4,408,83,"{'yet': 63, 'owned': 1832, 'beaten': 84, 'toplay': 11, 'dropped': 213, 'playing': 19}",12
148,A Way Out,3,"['PC', 'PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']",2,"['Adventure', 'Action']","['Action-Adventure', 'Atmospheric', 'Cinematic', 'Co-op', 'Split Screen', 'Stealth', 'prison']",2018-03-23,4.08,4,682,78,"{'yet': 98, 'owned': 1098, 'beaten': 609, 'toplay': 310, 'dropped': 56, 'playing': 51}",3
149,Yakuza Kiwami,4,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",4,"['Adventure', 'Action', 'RPG', 'Fighting']","['Full controller support', 'Steam Achievements', 'Steam Cloud', ""Beat 'em up"", 'Crime', 'Great Soundtrack', 'Open World', 'RPG', 'Story Rich', 'Single player only', 'Minigames', 'Steam Trading Cards']",2016-01-21,4.03,5,424,83,"{'yet': 156, 'owned': 1624, 'beaten': 240, 'toplay': 70, 'dropped': 55, 'playing': 44}",1
150,Dirty Bomb,1,['PC'],1,['Steam'],2,"['Shooter', 'Action']","['Steam Achievements', 'Class-Based', 'Competitive', 'Controller', 'Co-op', 'Fast-Paced', 'Female Protagonist', 'First-Person', 'FPS', 'Free to Play', 'Gore', 'Multiplayer', 'Open World', 'Parkour', 'Post-apocalyptic', 'PvP', 'Singleplayer', 'Team-Based', 'cooperative', 'steam-trading-cards']",2015-06-01,2.8,3,245,63,"{'yet': 55, 'owned': 1918, 'beaten': 33, 'toplay': 6, 'dropped': 157, 'playing': 5}",6
151,Crypt of the NecroDancer,8,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG']",3,"['Indie', 'Action', 'RPG']","['2D', 'Captions available', 'Full controller support', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Workshop', 'Co-op', 'Difficult', 'Dungeon Crawler', 'Fantasy', 'Female Protagonist', 'Great Soundtrack', 'Local Co-Op', 'Music', 'Pixel Graphics', 'Procedural Generation', 'Retro', 'Rhythm', 'RPG', 'Singleplayer', 'achievements', 'controller support', 'leaderboards', 'cooperative', 'role-playing', 'Roguelite', 'Roguelike', 'steam-trading-cards']",2015-04-22,4.08,4,364,87,"{'yet': 135, 'owned': 1575, 'beaten': 90, 'toplay': 43, 'dropped': 215, 'playing': 76}",4
152,Super Mario Odyssey,1,['Nintendo'],1,['Nintendo Store'],2,"['Platformer', 'Arcade']","['3D Platformer', 'Cult Classic', 'Cute', 'Family Friendly', 'Local Multiplayer', 'Singleplayer', 'kids', 'exclusive', 'true exclusive']",2017-10-26,4.43,5,1116,97,"{'yet': 77, 'owned': 424, 'beaten': 1030, 'toplay': 305, 'dropped': 93, 'playing': 198}",10
153,SpeedRunners,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",5,"['Racing', 'Action', 'Casual', 'Sports', 'Indie']","['Cross-Platform Multiplayer', '2D', 'Full controller support', '4 Player Local', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Competitive', 'Controller', 'Co-op', 'Fast-Paced', 'Funny', 'Level Editor', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Parkour', 'Singleplayer', 'Split Screen', 'Superhero', 'Online multiplayer', 'cooperative', 'steam-trading-cards', 'stats']",2016-04-19,3.76,4,287,84,"{'yet': 68, 'owned': 1766, 'beaten': 99, 'toplay': 12, 'dropped': 148, 'playing': 20}",4
154,The Surge,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Cyberpunk', 'Difficult', 'Exploration', 'Gore', 'Hack and Slash', 'Horror', 'Mechs', 'Multiplayer', 'Open World', 'Robots', 'RPG', 'Sci-fi', 'Singleplayer', 'Third Person', 'Violent', 'steam-trading-cards']",2017-05-15,3.22,3,378,72,"{'yet': 163, 'owned': 1571, 'beaten': 79, 'toplay': 57, 'dropped': 171, 'playing': 38}",5
155,Warhammer: End Times - Vermintide,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Indie', 'Action']","['Captions available', 'Action RPG', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Co-op', 'Dark Fantasy', 'Fantasy', 'Female Protagonist', 'First-Person', 'FPS', 'Games Workshop', 'Gore', 'Hack and Slash', 'Horror', 'Multiplayer', 'Online Co-Op', 'RPG', 'Singleplayer', 'Survival', 'cooperative', 'steam-trading-cards']",2015-10-23,3.53,4,292,79,"{'yet': 87, 'owned': 1734, 'beaten': 91, 'toplay': 17, 'dropped': 134, 'playing': 16}",10
156,TERA,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Massively Multiplayer', 'Action', 'RPG']","['In-App Purchases', 'Action RPG', 'Partial Controller Support', 'Anime', 'Character Customization', 'Controller', 'Co-op', 'Fantasy', 'FPS', 'Free to Play', 'Magic', 'MMORPG', 'Multiplayer', 'Nudity', 'Online Co-Op', 'Open World', 'PvE', 'PvP', 'RPG', 'Singleplayer', 'Survival', 'Online multiplayer', 'cooperative', 'mmo', 'steam-trading-cards']",2017-01-31,2.92,3,284,77,"{'yet': 69, 'owned': 1737, 'beaten': 38, 'toplay': 7, 'dropped': 207, 'playing': 14}",1
157,Snake Pass,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",5,"['Adventure', 'Puzzle', 'Casual', 'Simulation', 'Indie']","['3D Platformer', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Colorful', 'Cute', 'Difficult', 'Family Friendly', 'Great Soundtrack', 'Physics', 'Puzzle-Platformer', 'Singleplayer', 'steam-trading-cards']",2017-03-28,3.35,4,140,71,"{'yet': 101, 'owned': 1811, 'beaten': 37, 'toplay': 14, 'dropped': 79, 'playing': 15}",3
158,Her Story,4,"['PC', 'iOS', 'Android', 'Apple Macintosh']",4,"['Steam', 'App Store', 'GOG', 'Google Play']",4,"['Indie', 'Adventure', 'Simulation', 'Puzzle']","['Steam Achievements', 'Crime', 'Detective', 'Experimental', 'Female Protagonist', 'FMV', 'Horror', 'Mystery', 'Point & Click', 'Realistic', 'Short', 'Singleplayer', 'Story Rich', 'Visual Novel', 'steam-trading-cards']",2015-06-23,4.04,4,371,88,"{'yet': 149, 'owned': 1392, 'beaten': 341, 'toplay': 84, 'dropped': 55, 'playing': 7}",6
159,Grim Dawn,1,['PC'],2,"['Steam', 'GOG']",3,"['Indie', 'Action', 'RPG']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Co-op', 'Crowdfunded', 'Dark', 'Dark Fantasy', 'Dungeon Crawler', 'Fantasy', 'Hack and Slash', 'Isometric', 'Kickstarter', 'Loot', 'Multiplayer', 'Post-apocalyptic', 'RPG', 'Singleplayer', 'Zombies', 'achievements', 'cooperative', 'steam-trading-cards']",2016-02-24,3.96,4,319,83,"{'yet': 82, 'owned': 1629, 'beaten': 124, 'toplay': 35, 'dropped': 99, 'playing': 55}",2
160,Gris,5,"['PC', 'PlayStation', 'iOS', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'App Store', 'GOG', 'Nintendo Store']",5,"['Adventure', 'Action', 'Puzzle', 'Indie', 'Platformer']","['2D', 'Full controller support', 'Atmospheric', 'Cute', 'Drama', 'Female Protagonist', 'Relaxing', 'Singleplayer', 'relaxation']",2018-12-13,4.29,5,460,83,"{'yet': 137, 'owned': 1029, 'beaten': 400, 'toplay': 328, 'dropped': 75, 'playing': 54}",12
161,Gears 5,3,"['PC', 'Xbox']",2,"['Steam', 'Xbox Store']",2,"['Shooter', 'Action']","['Cross-Platform Multiplayer', 'Partial Controller Support', 'Co-op', 'Female Protagonist', 'Gore', 'Local Co-Op', 'Local Multiplayer', 'Military', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Split Screen', 'Violent', 'Online multiplayer', 'cooperative', 'future']",2019-09-10,3.94,4,392,83,"{'yet': 95, 'owned': 1303, 'beaten': 203, 'toplay': 281, 'dropped': 64, 'playing': 76}",9
162,A Plague Tale: Innocence,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Adventure', 'Action']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Horror', 'Singleplayer', 'Violent', 'steam-trading-cards']",2019-05-13,4.21,4,424,82,"{'yet': 133, 'owned': 938, 'beaten': 370, 'toplay': 477, 'dropped': 46, 'playing': 57}",5
163,Titan Souls,4,"['PC', 'PlayStation', 'Apple Macintosh']",3,"['Steam', 'PlayStation Store', 'GOG']",2,"['Indie', 'Action']","['2D', 'Full controller support', 'Action-Adventure', 'Steam Achievements', 'Atmospheric', 'Controller', 'Difficult', 'Fantasy', 'Great Soundtrack', 'Pixel Graphics', 'Retro', 'Short', 'Singleplayer', 'Top-Down', 'controller support', 'Roguelike']",2015-04-13,3.35,4,287,74,"{'yet': 134, 'owned': 1607, 'beaten': 80, 'toplay': 23, 'dropped': 155, 'playing': 21}",4
164,Beholder,8,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'App Store', 'GOG', 'Nintendo Store', 'Google Play']",4,"['Indie', 'Strategy', 'Adventure', 'RPG']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Dark', 'Dystopian', 'Great Soundtrack', 'Horror', 'Multiple Endings', 'Point & Click', 'Political', 'RPG', 'Singleplayer', 'Stealth', 'Story Rich', 'Violent', 'steam-trading-cards']",2016-11-08,3.76,4,328,75,"{'yet': 147, 'owned': 1561, 'beaten': 110, 'toplay': 52, 'dropped': 126, 'playing': 18}",11
165,This is the Police,8,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store', 'Google Play']",4,"['Indie', 'Strategy', 'Adventure', 'Simulation']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Comedy', 'Crime', 'Detective', 'Great Soundtrack', 'Horror', 'Kickstarter', 'Management', 'Mature', 'Memes', 'Noir', 'Political', 'Singleplayer', 'Story Rich', 'Visual Novel', 'achievements', 'leaderboards', 'steam-trading-cards']",2016-08-01,3.9,4,395,66,"{'yet': 122, 'owned': 1471, 'beaten': 182, 'toplay': 57, 'dropped': 136, 'playing': 44}",8
166,Shadow Warrior 2,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",3,"['Shooter', 'Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Comedy', 'Co-op', 'Demons', 'First-Person', 'FPS', 'Funny', 'Gore', 'Hack and Slash', 'Loot', 'Memes', 'Multiplayer', 'Ninja', 'Online Co-Op', 'Open World', 'Parkour', 'Sci-fi', 'Singleplayer', 'Swordplay', 'achievements', 'cooperative', 'steam-trading-cards']",2016-10-12,3.51,4,352,78,"{'yet': 209, 'owned': 1491, 'beaten': 134, 'toplay': 44, 'dropped': 114, 'playing': 19}",10
167,Days Gone,1,['PlayStation'],1,['PlayStation Store'],2,"['Adventure', 'Action']","['Action-Adventure', 'America', 'Atmospheric', 'Blood', 'Cinematic', 'Exploration', 'Open World', 'Post-apocalyptic', 'RPG', 'Singleplayer', 'Stealth', 'Survival', 'Violent', 'Zombies', 'role-playing', '3rd-Person Perspective', 'exclusive', 'true exclusive']",2019-04-26,3.91,4,392,71,"{'yet': 98, 'owned': 1144, 'beaten': 194, 'toplay': 423, 'dropped': 61, 'playing': 76}",4
168,Day of the Tentacle Remastered,6,"['PC', 'PlayStation', 'iOS', 'Apple Macintosh', 'Linux']",5,"['Steam', 'PlayStation Store', 'App Store', 'GOG', 'itch.io']",2,"['Family', 'Adventure']","[""1990's"", '2D', 'Commentary available', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Cartoony', 'Classic', 'Comedy', 'Funny', 'Point & Click', 'Remake', 'Singleplayer', 'Time Travel', 'overlay', 'cloud saves', 'steam-trading-cards']",2016-03-21,3.68,4,262,86,"{'yet': 179, 'owned': 1523, 'beaten': 164, 'toplay': 45, 'dropped': 69, 'playing': 15}",3
169,ARK: Survival Evolved,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Nintendo Store', 'Google Play', 'Epic Games']",5,"['Adventure', 'Action', 'RPG', 'Indie', 'Massively Multiplayer']","['Full controller support', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Base Building', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Building', 'Co-op', 'Crafting', 'Dinosaurs', 'Dragons', 'Early Access', 'First-Person', 'Free to Play', 'MMORPG', 'Multiplayer', 'Open World', 'RPG', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Survival', 'VR', 'cooperative', 'role-playing', 'mmo']",2015-06-02,3.12,3,255,70,"{'yet': 84, 'owned': 1625, 'beaten': 46, 'toplay': 21, 'dropped': 188, 'playing': 18}",6
170,Fractured Space,1,['PC'],1,['Steam'],3,"['Strategy', 'Indie', 'Action']","['In-App Purchases', 'Steam Achievements', 'Steam Leaderboards', 'Competitive', 'Co-op', 'Free to Play', 'MOBA', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvP', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Space', 'Space Sim', 'Survival', 'Tactical', 'Team-Based', 'Online multiplayer']",2016-09-22,2.56,3,112,79,"{'yet': 129, 'owned': 1773, 'beaten': 6, 'toplay': 7, 'dropped': 66}",9
171,Red Faction Guerrilla Re-Mars-tered,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Shooter', 'Arcade', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Destruction', 'Gore', 'Mars', 'Multiplayer', 'Open World', 'Physics', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'Online multiplayer', 'steam-trading-cards']",2018-07-02,3.47,4,189,70,"{'yet': 181, 'owned': 1596, 'beaten': 73, 'toplay': 45, 'dropped': 73, 'playing': 6}",7
172,"Invisible, Inc.",5,"['PC', 'PlayStation', 'iOS', 'Apple Macintosh', 'Linux']",3,"['Steam', 'App Store', 'GOG']",2,"['Strategy', 'Adventure']","['Steam Achievements', 'Steam Cloud', 'Cyberpunk', 'Difficult', 'Female Protagonist', 'Great Soundtrack', 'Isometric', 'Perma Death', 'Procedural Generation', 'Sci-fi', 'Singleplayer', 'Stealth', 'Tactical', 'Turn-Based', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Roguelike', 'Roguelite', 'steam-trading-cards']",2015-05-12,3.47,4,245,82,"{'yet': 152, 'owned': 1596, 'beaten': 69, 'toplay': 44, 'dropped': 97, 'playing': 15}",5
173,Warhammer: Vermintide 2,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Indie', 'Action']","['Co-op', 'Games Workshop', 'Gore', 'Online Co-Op', 'Violent', 'cooperative']",2018-03-08,3.7,4,354,82,"{'yet': 77, 'owned': 1594, 'beaten': 92, 'toplay': 43, 'dropped': 124, 'playing': 42}",3
174,Need for Speed,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",1,['Racing'],"['Multiplayer', 'street racing']",2015-11-03,3.32,3,477,66,"{'yet': 48, 'owned': 1474, 'beaten': 188, 'toplay': 29, 'dropped': 195, 'playing': 24}",11
175,The Last Guardian,1,['PlayStation'],1,['PlayStation Store'],2,"['Adventure', 'Action']","['Action-Adventure', 'Atmospheric', 'Cute', 'Drama', '3rd-Person Perspective', 'exclusive', 'true exclusive']",2016-10-25,4.13,5,474,82,"{'yet': 121, 'owned': 1112, 'beaten': 345, 'toplay': 227, 'dropped': 86, 'playing': 53}",10
176,South Park: The Fractured but Whole,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",2,"['Adventure', 'RPG']","['2D', 'Full controller support', 'Atmospheric', 'Cartoon', 'Comedy', 'Dark Humor', 'Funny', 'Great Soundtrack', 'Horror', 'Illuminati', 'Mature', 'Memes', 'Nudity', 'Open World', 'RPG', 'Satire', 'Singleplayer', 'Story Rich', 'Superhero', 'Turn-Based', 'role-playing']",2017-03-31,4.05,4,486,80,"{'yet': 109, 'owned': 1207, 'beaten': 355, 'toplay': 151, 'dropped': 77, 'playing': 44}",3
177,RUINER,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Epic Games']",3,"['Shooter', 'Indie', 'Action']","['Full controller support', 'Partial Controller Support', 'Steam Achievements', 'Cyberpunk', 'Gore', 'Great Soundtrack', 'Isometric', 'Singleplayer', 'Twin Stick Shooter', 'Violent']",2017-09-26,3.75,4,354,78,"{'yet': 197, 'owned': 1391, 'beaten': 142, 'toplay': 66, 'dropped': 111, 'playing': 33}",9
178,Gwent: The Witcher Card Game,5,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Google Play']",3,"['Card', 'Strategy', 'Board Games']","['Fantasy', 'Multiplayer', 'controller support', 'overlay', 'leaderboards']",2018-10-23,3.68,4,512,80,"{'yet': 107, 'owned': 1370, 'beaten': 46, 'toplay': 32, 'dropped': 303, 'playing': 82}",10
179,Hyper Light Drifter,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store', 'Epic Games']",4,"['Indie', 'Adventure', 'Action', 'RPG']","['2D', 'Full controller support', 'Action RPG', 'Steam Achievements', 'Atmospheric', 'Colorful', 'Co-op', 'Difficult', 'Exploration', 'Fantasy', 'Great Soundtrack', 'Hack and Slash', 'Kickstarter', 'Local Co-Op', 'Local Multiplayer', 'Metroidvania', 'Multiplayer', 'Pixel Graphics', 'Post-apocalyptic', 'RPG', 'Sci-fi', 'Singleplayer', 'Top-Down', 'controller support', 'steam-trading-cards']",2016-03-30,4.19,4,338,84,"{'yet': 227, 'owned': 1205, 'beaten': 195, 'toplay': 117, 'dropped': 127, 'playing': 61}",3
180,Injustice 2,5,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Google Play']",3,"['Action', 'RPG', 'Fighting']","['Full controller support', 'In-App Purchases', 'Steam Achievements', 'Steam Cloud', 'Comic Book', 'Local Multiplayer', 'Multiplayer', 'Singleplayer', 'Superhero', 'Online multiplayer', 'steam-trading-cards']",2017-05-09,3.99,4,544,88,"{'yet': 50, 'owned': 1242, 'beaten': 315, 'toplay': 131, 'dropped': 126, 'playing': 48}",5
181,Slay the Spire,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store']",4,"['Card', 'Strategy', 'Indie', 'RPG']","['2D', 'Steam Achievements', 'Steam Leaderboards', 'Dungeon Crawler', 'Early Access', 'Singleplayer', 'role-playing', 'stats']",2019-01-22,4.38,5,474,87,"{'yet': 85, 'owned': 1247, 'beaten': 201, 'toplay': 118, 'dropped': 118, 'playing': 143}",1
