,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added,month
337,Genesis Alpha One,1,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Shooter', 'Adventure', 'Action', 'RPG', 'Simulation', 'Indie']",2019-01-29,1.89,1,9,67.0,"{'yet': 2, 'owned': 57, 'toplay': 11, 'dropped': 5}",1
338,The Walking Dead: The Telltale Definitive Series,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['PlayStation Store', 'Xbox Store', 'Epic Games']",['Adventure'],2019-09-10,4.29,5,14,84.0,"{'yet': 4, 'owned': 39, 'beaten': 9, 'toplay': 11, 'dropped': 4, 'playing': 7}",9
364,Stellaris: Console Edition,0,2,"['PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']",['Strategy'],2019-02-28,4.08,4,11,79.0,"{'yet': 6, 'owned': 44, 'beaten': 3, 'toplay': 6, 'dropped': 2, 'playing': 2}",2
370,Call of Duty: Mobile,0,2,"['iOS', 'Android']",2,"['App Store', 'Google Play']","['Shooter', 'Action']",2019-10-01,3.89,4,35,81.0,"{'owned': 8, 'beaten': 6, 'toplay': 2, 'dropped': 32, 'playing': 13}",10
377,Conan Unconquered,3,1,['PC'],1,['Steam'],['Strategy'],2019-05-30,3.0,3,9,62.0,"{'yet': 3, 'owned': 34, 'beaten': 1, 'toplay': 13, 'dropped': 5, 'playing': 2}",5
379,Rico,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Shooter', 'Action']",2019-03-12,3.45,4,11,60.0,"{'yet': 3, 'owned': 32, 'beaten': 6, 'toplay': 13, 'dropped': 2, 'playing': 1}",3
382,Ghostbusters: The Video Game Remastered,0,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",['Action'],2019-10-04,3.8,4,10,68.0,"{'yet': 5, 'owned': 22, 'beaten': 5, 'toplay': 21, 'dropped': 3, 'playing': 1}",10
385,A Fisherman's Tale,1,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']","['Indie', 'Adventure']",2019-01-22,4.36,4,10,74.0,"{'yet': 4, 'owned': 36, 'beaten': 7, 'toplay': 7, 'dropped': 1}",1
393,KILL la KILL - IF,1,3,"['PC', 'PlayStation', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']","['Action', 'Fighting']",2019-07-25,2.14,3,7,66.0,"{'yet': 3, 'owned': 26, 'beaten': 4, 'toplay': 10, 'dropped': 6, 'playing': 3}",7
401,Apsulov: End of Gods,4,1,['PC'],1,['Steam'],"['Indie', 'Adventure', 'Action']",2019-08-08,3.14,4,7,71.0,"{'yet': 8, 'owned': 21, 'beaten': 7, 'toplay': 12, 'dropped': 2}",8
406,Yaga,0,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']","['Indie', 'Adventure', 'Action', 'RPG']",2019-11-12,3.5,4,12,70.0,"{'yet': 10, 'owned': 8, 'beaten': 2, 'toplay': 21, 'dropped': 8}",11
410,GRID (2019),0,3,"['PC', 'PlayStation', 'Xbox']",2,"['Steam', 'Xbox Store']","['Racing', 'Simulation']",2019-10-11,3.07,3,13,75.0,"{'yet': 3, 'owned': 9, 'beaten': 1, 'toplay': 24, 'dropped': 11, 'playing': 1}",10
420,Mario Kart Tour,0,2,"['iOS', 'Android']",3,"['App Store', 'Nintendo Store', 'Google Play']","['Casual', 'Racing', 'Action']",2019-09-25,3.09,4,22,58.0,"{'yet': 2, 'owned': 7, 'beaten': 3, 'toplay': 6, 'dropped': 23, 'playing': 5}",9
435,Forza Horizon 4 LEGO Speed Champions,0,2,"['PC', 'Xbox']",1,['Xbox Store'],['Racing'],2019-06-12,3.33,4,18,77.0,"{'yet': 3, 'owned': 11, 'beaten': 6, 'toplay': 11, 'dropped': 9, 'playing': 3}",6
449,World of Warcraft Classic,0,1,['PC'],None,None,"['Massively Multiplayer', 'RPG']",2019-08-27,4.19,5,27,81.0,"{'owned': 9, 'beaten': 6, 'toplay': 5, 'dropped': 13, 'playing': 8}",8
450,Devil's Hunt,7,1,['PC'],2,"['Steam', 'GOG']",['Action'],2019-09-16,1.29,1,14,47.0,"{'yet': 3, 'owned': 19, 'beaten': 3, 'toplay': 11, 'dropped': 5}",9
467,The Touryst,0,1,['Nintendo'],1,['Nintendo Store'],"['Adventure', 'Action']",2019-11-14,3.27,4,11,79.0,"{'yet': 2, 'owned': 5, 'beaten': 4, 'toplay': 23, 'dropped': 4}",11
484,Oceanhorn 2: Knights of the Lost Realm,0,4,"['PC', 'PlayStation', 'iOS', 'Apple Macintosh']",1,['App Store'],"['Adventure', 'Action']",2019-09-19,3.64,4,11,73.0,"{'yet': 4, 'owned': 4, 'beaten': 3, 'toplay': 14, 'dropped': 9, 'playing': 2}",9
598,Harry Potter: Wizards Unite,0,2,"['iOS', 'Android']",2,"['App Store', 'Google Play']","['Adventure', 'RPG']",2019-06-21,2.46,3,13,64.0,"{'yet': 2, 'owned': 5, 'beaten': 1, 'toplay': 3, 'dropped': 12}",6
742,Dr. Mario World,0,2,"['iOS', 'Android']",2,"['App Store', 'Google Play']","['Casual', 'Puzzle']",2019-07-10,3.55,4,11,58.0,"{'yet': 1, 'owned': 3, 'beaten': 1, 'toplay': 2, 'dropped': 4, 'playing': 3}",7
769,Gears POP!,0,3,"['PC', 'iOS', 'Android']",2,"['App Store', 'Google Play']","['Strategy', 'Action']",2019-08-22,2.88,4,8,64.0,"{'yet': 1, 'owned': 3, 'beaten': 1, 'toplay': 4, 'dropped': 4}",8
