,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added,month
99,Catherine: Full Body,0,3,"['PlayStation', 'Nintendo']",1,['PlayStation Store'],"['Adventure', 'Action', 'RPG', 'Puzzle']",2019-09-03,4.05,5,56,81.0,"{'yet': 38, 'owned': 141, 'beaten': 39, 'toplay': 178, 'dropped': 10, 'playing': 12}",9
103,Monster Hunter World: Iceborne,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Massively Multiplayer', 'Action', 'RPG']",2019-09-06,4.5,5,61,89.0,"{'yet': 17, 'owned': 249, 'beaten': 19, 'toplay': 65, 'dropped': 8, 'playing': 41}",9
109,Afterparty,0,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Indie', 'Adventure']",2019-10-29,3.62,4,47,74.0,"{'yet': 28, 'owned': 191, 'beaten': 21, 'toplay': 115, 'dropped': 14, 'playing': 14}",10
111,Tom Clancy's Ghost Recon Breakpoint,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['PlayStation Store', 'Xbox Store', 'Epic Games']",['Shooter'],2019-10-04,2.48,1,76,59.0,"{'yet': 10, 'owned': 215, 'beaten': 18, 'toplay': 89, 'dropped': 29, 'playing': 13}",10
112,Etherborn,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure']",2019-07-17,3.27,4,11,69.0,"{'yet': 22, 'owned': 324, 'beaten': 6, 'toplay': 15, 'dropped': 3, 'playing': 1}",7
118,Tales of Vesperia: Definitive Edition,22,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",1,['Steam'],['RPG'],2019-01-10,3.37,4,84,81.0,"{'yet': 41, 'owned': 180, 'beaten': 34, 'toplay': 63, 'dropped': 18, 'playing': 22}",1
121,Age of Wonders: Planetfall,3,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",['Strategy'],2019-08-05,3.68,4,47,81.0,"{'yet': 21, 'owned': 233, 'beaten': 5, 'toplay': 57, 'dropped': 22, 'playing': 11}",8
125,Tetris 99,0,1,['Nintendo'],None,None,"['Massively Multiplayer', 'Puzzle']",2019-02-13,4.34,5,171,83.0,"{'yet': 13, 'owned': 78, 'beaten': 52, 'toplay': 17, 'dropped': 89, 'playing': 78}",2
130,Outward,3,3,"['PC', 'PlayStation', 'Xbox']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Epic Games']",['RPG'],2019-03-25,3.63,4,48,65.0,"{'yet': 20, 'owned': 204, 'beaten': 14, 'toplay': 45, 'dropped': 19, 'playing': 14}",3
131,Sea of Solitude,4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Adventure', 'Action']",2019-07-05,3.19,3,42,68.0,"{'yet': 26, 'owned': 120, 'beaten': 27, 'toplay': 119, 'dropped': 15, 'playing': 3}",7
133,Telling Lies,4,5,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG']","['Indie', 'Adventure', 'Simulation']",2019-08-23,3.73,4,37,82.0,"{'yet': 25, 'owned': 121, 'beaten': 31, 'toplay': 100, 'dropped': 12, 'playing': 9}",8
135,Cadence of Hyrule - Crypt of the NecroDancer Featuring the Legend of Zelda,0,1,['Nintendo'],1,['Nintendo Store'],"['Adventure', 'Action', 'RPG']",2019-06-13,4.15,4,88,85.0,"{'yet': 20, 'owned': 31, 'beaten': 63, 'toplay': 132, 'dropped': 19, 'playing': 18}",6
136,Draugen,4,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure']",2019-05-29,3.59,4,58,73.0,"{'yet': 33, 'owned': 81, 'beaten': 45, 'toplay': 116, 'dropped': 8}",5
137,Anno 1800,8,1,['PC'],2,"['Steam', 'Epic Games']","['Strategy', 'Simulation']",2019-04-16,4.25,4,72,81.0,"{'yet': 27, 'owned': 70, 'beaten': 26, 'toplay': 112, 'dropped': 21, 'playing': 26}",4
138,NieR:Automata Game of the YoRHa Edition,0,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']",['Action'],2019-02-26,4.19,5,70,91.0,"{'yet': 40, 'owned': 44, 'beaten': 46, 'toplay': 125, 'dropped': 13, 'playing': 12}",2
139,Tropico 6,6,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Strategy', 'Simulation']",2019-03-28,3.71,4,56,77.0,"{'yet': 7, 'owned': 173, 'beaten': 16, 'toplay': 50, 'dropped': 24, 'playing': 10}",3
142,Moons of Madness,4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Indie', 'Adventure']",2019-10-22,3.47,4,35,65.0,"{'yet': 16, 'owned': 173, 'beaten': 27, 'toplay': 50, 'dropped': 7, 'playing': 1}",10
143,Deliver Us the Moon,4,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure', 'Action']",2019-10-09,3.64,4,54,74.0,"{'yet': 9, 'owned': 190, 'beaten': 31, 'toplay': 27, 'dropped': 10, 'playing': 2}",10
144,Concrete Genie,0,1,['PlayStation'],1,['PlayStation Store'],"['Adventure', 'Action']",2019-10-08,3.81,4,30,75.0,"{'yet': 15, 'owned': 136, 'beaten': 24, 'toplay': 86, 'dropped': 2, 'playing': 4}",10
146,Dicey Dungeons,3,2,"['PC', 'Nintendo']",3,"['Steam', 'Nintendo Store', 'itch.io']","['Strategy', 'Indie']",2019-08-13,4.3,5,33,80.0,"{'yet': 9, 'owned': 179, 'beaten': 14, 'toplay': 36, 'dropped': 8, 'playing': 14}",8
147,Generation Zero (2019),4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Shooter', 'Action']",2019-03-26,2.3,3,43,49.0,"{'yet': 5, 'owned': 180, 'beaten': 6, 'toplay': 34, 'dropped': 29, 'playing': 5}",3
148,Yoshi's Crafted World,0,1,['Nintendo'],1,['Nintendo Store'],['Platformer'],2019-03-29,3.71,4,66,79.0,"{'yet': 16, 'owned': 27, 'beaten': 33, 'toplay': 126, 'dropped': 28, 'playing': 29}",3
150,Trials Rising,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Racing', 'Arcade']",2019-02-26,3.73,4,60,81.0,"{'yet': 11, 'owned': 146, 'beaten': 10, 'toplay': 34, 'dropped': 34, 'playing': 18}",2
151,Layers of Fear 2,4,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Casual', 'Indie', 'Adventure']",2019-05-27,3.25,4,57,67.0,"{'yet': 22, 'owned': 83, 'beaten': 37, 'toplay': 78, 'dropped': 15, 'playing': 3}",5
163,Trover saves the Universe,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Indie', 'Adventure', 'Action']",2019-05-31,4.06,4,35,77.0,"{'yet': 10, 'owned': 110, 'beaten': 18, 'toplay': 56, 'dropped': 9, 'playing': 13}",5
168,Judgment (2019),0,1,['PlayStation'],1,['PlayStation Store'],"['Adventure', 'Action']",2019-06-25,4.24,5,30,80.0,"{'yet': 20, 'owned': 17, 'beaten': 28, 'toplay': 114, 'dropped': 4, 'playing': 15}",6
175,The Jackbox Party Pack 6,3,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",['Casual'],2019-10-17,4.05,4,21,75.0,"{'yet': 1, 'owned': 161, 'beaten': 4, 'toplay': 10, 'dropped': 8, 'playing': 5}",10
176,Blacksad: Under the Skin,2,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",['Adventure'],2019-11-05,3.79,4,36,63.0,"{'yet': 29, 'owned': 21, 'beaten': 27, 'toplay': 99, 'dropped': 5, 'playing': 6}",11
178,Close To The Sun,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']","['Indie', 'Adventure', 'Action', 'Puzzle']",2019-05-02,3.57,4,32,66.0,"{'yet': 55, 'owned': 46, 'beaten': 26, 'toplay': 52, 'dropped': 6}",5
181,God Eater 3,4,3,"['PC', 'PlayStation', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']","['Adventure', 'Action', 'RPG']",2019-02-08,3.52,4,29,72.0,"{'yet': 18, 'owned': 90, 'beaten': 11, 'toplay': 50, 'dropped': 11, 'playing': 4}",2
182,Terminator: Resistance,3,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",['Action'],2019-11-13,3.18,4,33,54.0,"{'yet': 11, 'owned': 95, 'beaten': 17, 'toplay': 42, 'dropped': 13, 'playing': 4}",11
183,RAD,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",['Action'],2019-08-20,3.35,3,26,72.0,"{'yet': 6, 'owned': 115, 'beaten': 8, 'toplay': 36, 'dropped': 13, 'playing': 3}",8
184,One Finger Death Punch 2,2,3,"['PC', 'Xbox', 'Nintendo']",4,"['Steam', 'Xbox Store', 'GOG', 'Nintendo Store']","['Casual', 'Indie', 'Action']",2019-04-14,3.93,4,15,81.0,"{'yet': 9, 'owned': 146, 'beaten': 2, 'toplay': 10, 'dropped': 4, 'playing': 9}",4
187,ANCESTORS: The Humankind Odyssey,0,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Indie', 'Adventure', 'Action', 'RPG']",2019-08-27,2.8,3,48,69.0,"{'yet': 16, 'owned': 55, 'beaten': 9, 'toplay': 65, 'dropped': 27, 'playing': 4}",8
188,Yuppie Psycho,4,1,['PC'],1,['Steam'],"['Indie', 'Adventure']",2019-04-25,4.31,5,31,81.0,"{'yet': 11, 'owned': 87, 'beaten': 29, 'toplay': 40, 'dropped': 9}",4
192,Football Manager 2020 Touch,1,3,"['PC', 'Apple Macintosh', 'Nintendo']",1,['Steam'],"['Simulation', 'Sports']",2019-12-10,3.62,5,8,71.0,"{'yet': 7, 'owned': 152, 'beaten': 3, 'toplay': 3, 'dropped': 1, 'playing': 4}",12
202,Dawn of Man,6,4,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Strategy', 'Indie', 'Simulation']",2019-02-28,3.45,4,31,74.0,"{'yet': 6, 'owned': 107, 'beaten': 15, 'toplay': 11, 'dropped': 8, 'playing': 4}",2
211,American Fugitive,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Indie', 'Adventure', 'Action']",2019-05-21,3.05,3,22,66.0,"{'yet': 10, 'owned': 86, 'beaten': 10, 'toplay': 22, 'dropped': 10, 'playing': 4}",5
214,Reventure,2,3,"['PC', 'iOS', 'Nintendo']",4,"['Steam', 'App Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Puzzle']",2019-06-04,4.0,4,18,83.0,"{'yet': 3, 'owned': 116, 'beaten': 8, 'toplay': 4, 'dropped': 8, 'playing': 1}",6
218,Valfaris,1,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Action']",2019-10-10,3.61,4,23,81.0,"{'yet': 10, 'owned': 63, 'beaten': 11, 'toplay': 41, 'dropped': 8, 'playing': 6}",10
219,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Family', 'Platformer', 'Adventure', 'Action']",2019-05-07,3.5,4,15,69.0,"{'yet': 8, 'owned': 75, 'beaten': 5, 'toplay': 39, 'dropped': 4, 'playing': 8}",5
226,Unruly Heroes,1,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Adventure', 'Action', 'Fighting', 'Indie', 'Platformer']",2019-01-23,3.65,4,25,77.0,"{'yet': 10, 'owned': 56, 'beaten': 8, 'toplay': 46, 'dropped': 11, 'playing': 2}",1
