name,id,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,yet,owned,beaten,toplay,dropped,playing,users,month,year
Persona 5,49,1,['PlayStation'],1,['PlayStation Store'],3,"['Adventure', 'Action', 'RPG']","['Action-Adventure', 'Anime', 'Atmospheric', 'Drama', 'Exploration', 'JRPG', 'RPG', 'Singleplayer', '3rd-Person Perspective', 'japanese', 'lifestyle']",2016-09-15,4.38,5,918,93,158,1378,564,316,104,214,2156,9,2016
Sonic Mania,23587,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",4,"['Casual', 'Platformer', 'Adventure', 'Action']","['2D', 'Full controller support', 'Action-Adventure', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Cartoony', 'Classic', 'Colorful', 'Family Friendly', 'Fast-Paced', 'Great Soundtrack', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Pixel Graphics', 'Remake', 'Retro', 'Side Scroller', 'Singleplayer', 'Split Screen', 'steam-trading-cards']",2017-08-15,3.93,4,553,85,169,1925,229,79,246,78,2232,8,2017
The Outer Worlds,274762,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",4,"['Shooter', 'Adventure', 'Action', 'RPG']","['Full controller support', 'Action RPG', 'Choices Matter', 'First-Person', 'FPS', 'Open World', 'RPG', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich']",2019-10-25,4.0,4,598,80,164,1197,366,684,167,140,1703,10,2019
F1 2015,3251,4,"['PC', 'PlayStation', 'Xbox', 'Linux']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Racing', 'Sports']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Driving', 'Multiplayer', 'Realistic', 'Singleplayer', 'cooperative', 'steam-trading-cards']",2015-07-09,2.73,3,194,61,172,2421,26,2,80,2,2449,7,2015
Metro Exodus,28201,3,"['PC', 'PlayStation', 'Xbox']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Epic Games']",2,"['Shooter', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Crafting', 'Exploration', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Horror', 'Post-apocalyptic', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival', 'Survival Horror', 'Violent', 'meat', 'steam', 'russia', 'category', 'steam-trading-cards']",2019-02-13,4.04,4,669,81,187,1273,436,581,116,81,1790,2,2019
Magicka 2,3315,4,"['PC', 'PlayStation', 'Apple Macintosh', 'Linux']",2,"['Steam', 'PlayStation Store']",3,"['Adventure', 'Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Atmospheric', 'Comedy', 'Co-op', 'Fantasy', 'Funny', 'Gore', 'Isometric', 'Local Co-Op', 'Local Multiplayer', 'Magic', 'Memes', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvP', 'RPG', 'Singleplayer', 'Split Screen', 'Team-Based', 'cooperative', 'steam-trading-cards']",2015-05-26,3.65,4,413,69,148,2140,127,39,178,15,2282,5,2015
Starbound,12569,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']",4,"['Casual', 'Indie', 'Action', 'RPG']","['Cross-Platform Multiplayer', '2D', 'Steam Achievements', 'Atmospheric', 'Steam Workshop', 'Building', 'Co-op', 'Crafting', 'Exploration', 'Great Soundtrack', 'Multiplayer', 'Online Co-Op', 'Open World', 'Pixel Graphics', 'RPG', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Space', 'Survival', 'overlay', 'Online multiplayer', 'cooperative', 'steam-trading-cards']",2016-07-21,3.91,4,476,81,84,2071,154,39,255,42,2267,7,2016
Kholat,2722,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Indie', 'Adventure']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Difficult', 'Exploration', 'First-Person', 'Great Soundtrack', 'Horror', 'Multiplayer', 'Mystery', 'Open World', 'Singleplayer', 'Story Rich', 'Survival', 'Survival Horror', 'Walking Simulator', 'steam-trading-cards']",2015-06-08,2.67,3,256,64,186,2305,59,23,67,2,2366,6,2015
The Order: 1886,3459,1,['PlayStation'],1,['PlayStation Store'],2,"['Adventure', 'Action']","['Action-Adventure', 'Alternate History', 'Atmospheric', 'Cinematic', 'Exploration', 'Mature', 'Nudity', 'Singleplayer', 'Stealth', 'Steampunk', '3rd-Person Perspective', 'exclusives', 'true exclusive']",2015-01-13,3.75,4,676,63,48,1808,622,84,53,24,2454,1,2015
Control,58812,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']",3,"['Shooter', 'Adventure', 'Action']","['Full controller support', 'Abstract', 'Action-Adventure', 'Atmospheric', 'Cinematic', 'Detective', 'Exploration', 'Female Protagonist', 'Metroidvania', 'Sci-fi', 'Singleplayer', 'Supernatural', 'Third Person', '3rd-Person Perspective']",2019-08-27,4.18,4,594,84,169,1046,422,756,112,132,1600,8,2019
Prison Architect,12320,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Strategy', 'Indie', 'Simulation']","['2D', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Base Building', 'Steam Workshop', 'Building', 'City Builder', 'Comedy', 'Economy', 'Funny', 'Management', 'Moddable', 'Replay Value', 'Resource Management', 'RTS', 'Sandbox', 'Singleplayer', 'Top-Down', 'achievements', 'overlay', 'steam-trading-cards']",2015-10-05,3.82,4,314,83,124,2166,112,29,183,23,2301,10,2015
Dying Light,42215,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Adventure', 'Action', 'RPG']","['Horror', 'Parkour', 'Survival', 'Zombies', 'environment', 'skill', 'night', 'city', 'fast']",2015-01-27,4.1,4,658,74,68,1771,479,78,190,48,2298,1,2015
Human: Fall Flat,13247,8,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store', 'Google Play']",3,"['Indie', 'Action', 'Puzzle']","['3D Platformer', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Co-op', 'Funny', 'Local Co-Op', 'Local Multiplayer', 'Memes', 'Multiplayer', 'Open World', 'Physics', 'Puzzle-Platformer', 'Sandbox', 'Singleplayer', 'Split Screen', 'Survival', 'controller support', 'cooperative', 'stats']",2016-07-22,3.82,4,480,70,69,2131,186,26,150,57,2374,7,2016
Doki Doki Literature Club!,46956,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'itch.io']",2,"['Indie', 'Adventure']","['Anime', 'Cute', 'Dating Sim', 'Free to Play', 'Horror', 'Romance', 'Singleplayer', 'Visual Novel']",2017-09-22,4.06,4,623,78,137,1705,610,49,87,22,2337,9,2017
Celeste,22121,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",2,"['Platformer', 'Indie']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Female Protagonist', 'Horror', 'Singleplayer', 'Story Rich', 'character-development', 'great-graphics']",2018-01-25,4.39,5,862,91,281,999,555,336,194,199,1753,1,2018
Star Wars: Battlefront II (2017),28152,3,"['PC', 'PlayStation', 'Xbox']",2,"['Steam', 'Xbox Store']",1,['Shooter'],"['Multiplayer', 'Space', 'Star Wars']",2017-11-17,3.51,4,637,74,68,1811,256,71,241,98,2165,11,2017
The Awesome Adventures of Captain Spirit,58752,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",1,['Adventure'],"['Full controller support', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Drama', 'Free to Play', 'Great Soundtrack', 'Horror', 'Memes', 'Point & Click', 'Short', 'Singleplayer', 'Story Rich', 'Superhero', 'Walking Simulator']",2018-06-25,3.64,4,567,77,217,1623,509,98,49,8,2140,6,2018
RiME,9744,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']",2,"['Adventure', 'Puzzle']","['3D Platformer', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Colorful', 'Exploration', 'Fantasy', 'Great Soundtrack', 'Open World', 'Relaxing', 'Singleplayer', 'controller support', 'cloud saves', 'puzzles']",2017-05-25,3.72,4,564,78,239,1595,322,149,152,44,1961,5,2017
Evolve Stage 2,16355,1,['PC'],1,['Steam'],1,['Action'],"['Full controller support', 'Aliens', 'Atmospheric', 'Valve Anti-Cheat enabled', 'Class-Based', 'Co-op', 'First-Person', 'FPS', 'Multiplayer', 'Online Co-Op', 'PvP', 'Sci-fi', 'Singleplayer', 'Stealth', 'Survival', 'Tactical', 'Team-Based', 'Third Person', 'cooperative', 'steam-trading-cards']",2015-02-10,2.49,3,286,77,70,2174,32,3,207,0,2206,2,2015
Life is Strange: Before The Storm,29215,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG']",1,['Adventure'],"['Full controller support', 'Anime', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Choose Your Own Adventure', 'Drama', 'Episodic', 'Female Protagonist', 'Great Soundtrack', 'Horror', 'Illuminati', 'Memes', 'Multiple Endings', 'Mystery', 'Point & Click', 'RPG', 'Singleplayer', 'Story Rich', 'Third Person', 'Time Travel', 'Walking Simulator', 'steam-trading-cards', 'LGBTQ+']",2017-08-30,3.93,4,695,77,164,1456,615,146,55,42,2113,8,2017
The Red Solstice,11567,1,['PC'],1,['Steam'],4,"['Strategy', 'Indie', 'Action', 'RPG']","['Captions available', 'Action RPG', 'Aliens', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Co-op', 'Horror', 'Isometric', 'Kickstarter', 'Multiplayer', 'Online Co-Op', 'RPG', 'RTS', 'Sci-fi', 'Singleplayer', 'Space', 'Strategy RPG', 'Survival', 'Tactical', 'Top-Down', 'Zombies', 'Online multiplayer', 'steam-trading-cards', 'stats']",2015-07-09,2.35,3,128,74,160,2222,5,4,45,0,2227,7,2015
Dungeons 2,2412,5,"['PC', 'PlayStation', 'iOS', 'Apple Macintosh', 'Linux']",4,"['Steam', 'PlayStation Store', 'App Store', 'GOG']",3,"['Strategy', 'RPG', 'Simulation']","['Cross-Platform Multiplayer', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Comedy', 'Competitive', 'Dungeon Crawler', 'Fantasy', 'Funny', 'Management', 'Multiplayer', 'RPG', 'RTS', 'Singleplayer', 'Top-Down', 'Villain Protagonist', 'achievements', 'steam-trading-cards']",2015-04-23,2.83,4,178,70,178,2134,29,7,56,3,2166,4,2015
Dead by Daylight,9966,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Nintendo Store', 'Google Play']",1,['Action'],"['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Blood', 'Comedy', 'Co-op', 'Difficult', 'First-Person', 'Gore', 'Horror', 'Mature', 'Multiplayer', 'Online Co-Op', 'Stealth', 'Survival', 'Survival Horror', 'Team-Based', 'Third Person', 'Violent', 'steam-trading-cards']",2016-06-14,3.44,4,462,72,95,1926,57,25,215,83,2066,6,2016
Saints Row: Gat Out of Hell,3450,4,"['PC', 'PlayStation', 'Xbox', 'Linux']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Xbox 360 Store']",2,"['Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Comedy', 'Co-op', 'Dark Humor', 'Demons', 'Female Protagonist', 'First-Person', 'Funny', 'Gore', 'Mature', 'Multiplayer', 'Online Co-Op', 'Open World', 'Sandbox', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'achievements', 'controller support', 'overlay', 'cloud saves', 'cooperative', 'steam-trading-cards']",2015-01-20,3.07,3,433,66,114,1831,278,19,149,8,2117,1,2015
Forza Horizon 4,58753,2,"['PC', 'Xbox']",1,['Xbox Store'],2,"['Racing', 'Massively Multiplayer']","['Atmospheric', 'Cinematic', 'Co-op', 'Driving', 'Exploration', 'Family Friendly', 'First-Person', 'Great Soundtrack', 'Multiplayer', 'Offroad', 'Online Co-Op', 'Open World', 'Sandbox', '3rd-Person Perspective', 'winter', 'autumn', 'extreme', 'explore', 'exclusive', 'w10 exclusive', 'street racing']",2018-10-02,4.33,5,772,90,67,1557,159,206,191,219,1935,10,2018
Little Nightmares,41,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Platformer', 'Action']","['2.5D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Dark', 'Female Protagonist', 'Great Soundtrack', 'Horror', 'Puzzle-Platformer', 'Short', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival Horror', 'Third Person', 'achievements', 'controller support', 'steam-trading-cards']",2017-04-27,4.11,4,519,81,187,1497,390,198,69,55,1942,4,2017
Furi,2239,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",2,"['Arcade', 'Action']","['Full controller support', 'Anime', 'Steam Achievements', 'Atmospheric', 'Steam Leaderboards', ""Beat 'em up"", 'Bullet Hell', 'Character Action Game', 'Controller', 'Cyberpunk', 'Difficult', 'Fast-Paced', 'Great Soundtrack', 'Hack and Slash', 'Sci-fi', ""Shoot 'Em Up"", 'Singleplayer', 'Spectacle fighter', 'Story Rich', 'Stylized', 'Top-Down', 'Boss battle', 'steam-trading-cards']",2016-07-04,3.83,4,456,76,150,1718,197,68,195,46,1961,7,2016
Dark Souls: Remastered,51610,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",1,['Action'],"['Full controller support', 'Action RPG', 'Steam Achievements', 'Atmospheric', 'Character Customization', 'Co-op', 'Dark', 'Dark Fantasy', 'Difficult', 'Exploration', 'Great Soundtrack', 'Lore-Rich', 'Mature', 'Multiplayer', 'Open World', 'Replay Value', 'RPG', 'Singleplayer', 'Story Rich', 'Third Person', 'cooperative']",2018-05-23,4.39,5,683,84,139,1384,346,278,121,105,1835,5,2018
The LEGO NINJAGO Movie Video Game,45970,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",2,"['Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'LEGO', 'Local Co-Op', 'Local Multiplayer', 'Singleplayer', 'cooperative']",2017-09-22,3.29,4,59,70,88,2226,19,1,14,8,2253,9,2017
Steep,715,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']",3,"['Action', 'Simulation', 'Sports']","['Partial Controller Support', 'Atmospheric', 'Co-op', 'Exploration', 'First-Person', 'FPS', 'Great Soundtrack', 'Multiplayer', 'Open World', 'Realistic', 'Sandbox', 'Singleplayer', 'Third Person', 'VR', 'Online multiplayer', 'cooperative', 'snowboarding', 'steam-trading-cards']",2016-12-02,3.42,4,574,72,127,1700,63,26,350,68,1831,12,2016
Mass Effect: Andromeda,137,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Action', 'RPG']","['Romance', 'Sci-fi', 'Space', 'Story Rich', '3rd-Person Perspective']",2017-03-21,3.23,3,685,73,133,1298,432,144,249,59,1789,3,2017
Sniper Elite 4,382,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Shooter', 'Adventure', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Atmospheric', 'Co-op', 'FPS', 'Gore', 'Multiplayer', 'Nudity', 'Open World', 'Singleplayer', 'Sniper', 'Stealth', 'Tactical', 'Third Person', 'Third-Person Shooter', 'Violent', 'War', 'World War II', 'cooperative', 'steam-trading-cards']",2017-02-13,3.51,4,397,78,138,1789,144,45,156,35,1968,2,2017
Stellaris,10040,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']",2,"['Strategy', 'Simulation']","['Cross-Platform Multiplayer', '4X', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Building', 'Exploration', 'Grand Strategy', 'Great Soundtrack', 'Moddable', 'Multiplayer', 'Open World', 'Real-Time with Pause', 'Replay Value', 'RTS', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich']",2016-05-08,4.23,4,383,78,105,1808,102,37,137,105,2015,5,2016
Enter the Gungeon,2574,5,"['PC', 'PlayStation', 'Xbox', 'Linux', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']",4,"['Indie', 'Shooter', 'Adventure', 'Action']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Bullet Hell', 'Co-op', 'Difficult', 'Dungeon Crawler', 'Funny', 'Great Soundtrack', 'Local Co-Op', 'Loot', 'Multiplayer', 'Pixel Graphics', ""Shoot 'Em Up"", 'Singleplayer', 'Split Screen', 'Top-Down Shooter', 'Twin Stick Shooter', 'achievements', 'controller support', 'cooperative', 'Roguelite', 'Roguelike']",2016-04-04,4.2,4,534,84,142,1542,114,45,276,148,1804,4,2016
A Way Out,50778,3,"['PC', 'PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']",2,"['Adventure', 'Action']","['Action-Adventure', 'Atmospheric', 'Cinematic', 'Co-op', 'Split Screen', 'Stealth', 'prison']",2018-03-23,4.09,4,692,78,100,1122,620,313,57,51,1793,3,2018
Frostpunk,45821,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Strategy', 'Simulation']","['Atmospheric', 'Building', 'Choices Matter', 'City Builder', 'Dark', 'Difficult', 'Economy', 'Management', 'Post-apocalyptic', 'Real-Time with Pause', 'Resource Management', 'Singleplayer', 'Survival']",2018-04-24,4.19,4,432,85,117,1538,210,199,120,71,1819,4,2018
HELLDIVERS,12884,2,"['PC', 'PlayStation']",1,['Steam'],1,['Action'],"['Full controller support', '4 Player Local', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Comedy', 'Co-op', 'Difficult', 'Funny', 'Hack and Slash', 'Isometric', 'Local Co-Op', 'Mechs', 'Multiplayer', 'Online Co-Op', 'Sci-fi', 'Singleplayer', 'Space', 'Split Screen', 'Survival', 'Top-Down', 'Top-Down Shooter', 'Twin Stick Shooter', 'cooperative']",2015-12-07,3.57,4,412,83,63,1839,86,11,214,19,1944,12,2015
Yakuza Kiwami,44525,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",4,"['Adventure', 'Action', 'RPG', 'Fighting']","['Full controller support', 'Steam Achievements', 'Steam Cloud', ""Beat 'em up"", 'Crime', 'Great Soundtrack', 'Open World', 'RPG', 'Story Rich', 'Single player only', 'Minigames', 'Steam Trading Cards']",2016-01-21,4.03,5,429,83,162,1644,246,72,55,44,1934,1,2016
Dirty Bomb,9979,1,['PC'],1,['Steam'],2,"['Shooter', 'Action']","['Steam Achievements', 'Class-Based', 'Competitive', 'Controller', 'Co-op', 'Fast-Paced', 'Female Protagonist', 'First-Person', 'FPS', 'Free to Play', 'Gore', 'Multiplayer', 'Open World', 'Parkour', 'Post-apocalyptic', 'PvP', 'Singleplayer', 'Team-Based', 'cooperative', 'steam-trading-cards']",2015-06-01,2.79,3,248,63,58,1927,33,6,159,5,1965,6,2015
Super Mario Odyssey,28026,1,['Nintendo'],1,['Nintendo Store'],2,"['Platformer', 'Arcade']","['3D Platformer', 'Cult Classic', 'Cute', 'Family Friendly', 'Local Multiplayer', 'Singleplayer', 'kids', 'exclusive', 'true exclusive']",2017-10-26,4.44,5,1131,97,78,428,1042,309,93,199,1669,10,2017
Crypt of the NecroDancer,2845,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG']",3,"['Indie', 'Action', 'RPG']","['2D', 'Captions available', 'Full controller support', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Workshop', 'Co-op', 'Difficult', 'Dungeon Crawler', 'Fantasy', 'Female Protagonist', 'Great Soundtrack', 'Local Co-Op', 'Music', 'Pixel Graphics', 'Procedural Generation', 'Retro', 'Rhythm', 'RPG', 'Singleplayer', 'achievements', 'controller support', 'leaderboards', 'cooperative', 'role-playing', 'Roguelite', 'Roguelike', 'steam-trading-cards']",2015-04-22,4.08,4,366,87,137,1585,91,40,217,76,1752,4,2015
SpeedRunners,11228,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",5,"['Racing', 'Action', 'Casual', 'Sports', 'Indie']","['Cross-Platform Multiplayer', '2D', 'Full controller support', '4 Player Local', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Competitive', 'Controller', 'Co-op', 'Fast-Paced', 'Funny', 'Level Editor', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Parkour', 'Singleplayer', 'Split Screen', 'Superhero', 'Online multiplayer', 'cooperative', 'steam-trading-cards', 'stats']",2016-04-19,3.76,4,289,84,69,1775,99,12,149,20,1894,4,2016
The Surge,9741,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Cyberpunk', 'Difficult', 'Exploration', 'Gore', 'Hack and Slash', 'Horror', 'Mechs', 'Multiplayer', 'Open World', 'Robots', 'RPG', 'Sci-fi', 'Singleplayer', 'Third Person', 'Violent', 'steam-trading-cards']",2017-05-15,3.22,3,380,72,162,1579,80,58,176,37,1696,5,2017
Warhammer: End Times - Vermintide,1225,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Indie', 'Action']","['Captions available', 'Action RPG', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Co-op', 'Dark Fantasy', 'Fantasy', 'Female Protagonist', 'First-Person', 'FPS', 'Games Workshop', 'Gore', 'Hack and Slash', 'Horror', 'Multiplayer', 'Online Co-Op', 'RPG', 'Singleplayer', 'Survival', 'cooperative', 'steam-trading-cards']",2015-10-23,3.52,4,295,79,88,1740,91,17,135,16,1847,10,2015
TERA,10296,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Massively Multiplayer', 'Action', 'RPG']","['In-App Purchases', 'Action RPG', 'Partial Controller Support', 'Anime', 'Character Customization', 'Controller', 'Co-op', 'Fantasy', 'FPS', 'Free to Play', 'Magic', 'MMORPG', 'Multiplayer', 'Nudity', 'Online Co-Op', 'Open World', 'PvE', 'PvP', 'RPG', 'Singleplayer', 'Survival', 'Online multiplayer', 'cooperative', 'mmo', 'steam-trading-cards']",2017-01-31,2.91,3,286,77,69,1746,38,7,212,14,1798,1,2017
Gris,59313,5,"['PC', 'PlayStation', 'iOS', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'App Store', 'GOG', 'Nintendo Store']",4,"['Indie', 'Platformer', 'Adventure', 'Puzzle']","['2D', 'Full controller support', 'Atmospheric', 'Cute', 'Drama', 'Female Protagonist', 'Relaxing', 'Singleplayer', 'relaxation']",2018-12-13,4.27,5,466,83,143,1053,407,337,78,53,1513,12,2018
Snake Pass,99,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",5,"['Adventure', 'Puzzle', 'Casual', 'Simulation', 'Indie']","['3D Platformer', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Colorful', 'Cute', 'Difficult', 'Family Friendly', 'Great Soundtrack', 'Physics', 'Puzzle-Platformer', 'Singleplayer', 'steam-trading-cards']",2017-03-28,3.35,4,140,71,105,1818,39,14,79,15,1872,3,2017
A Plague Tale: Innocence,59359,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Adventure', 'Action']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Horror', 'Singleplayer', 'Violent', 'steam-trading-cards']",2019-05-13,4.2,4,433,82,141,962,379,480,46,56,1397,5,2019
Her Story,2287,4,"['PC', 'iOS', 'Android', 'Apple Macintosh']",4,"['Steam', 'App Store', 'GOG', 'Google Play']",4,"['Indie', 'Adventure', 'Simulation', 'Puzzle']","['Steam Achievements', 'Crime', 'Detective', 'Experimental', 'Female Protagonist', 'FMV', 'Horror', 'Mystery', 'Point & Click', 'Realistic', 'Short', 'Singleplayer', 'Story Rich', 'Visual Novel', 'steam-trading-cards']",2015-06-23,4.04,4,375,88,154,1406,346,85,55,7,1759,6,2015
Grim Dawn,9465,1,['PC'],2,"['Steam', 'GOG']",3,"['Indie', 'Action', 'RPG']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Co-op', 'Crowdfunded', 'Dark', 'Dark Fantasy', 'Dungeon Crawler', 'Fantasy', 'Hack and Slash', 'Isometric', 'Kickstarter', 'Loot', 'Multiplayer', 'Post-apocalyptic', 'RPG', 'Singleplayer', 'Zombies', 'achievements', 'cooperative', 'steam-trading-cards']",2016-02-24,3.95,4,321,83,82,1650,126,35,101,55,1831,2,2016
Gears 5,326252,2,"['PC', 'Xbox']",2,"['Steam', 'Xbox Store']",2,"['Shooter', 'Action']","['Cross-Platform Multiplayer', 'Partial Controller Support', 'Co-op', 'Female Protagonist', 'Gore', 'Local Co-Op', 'Local Multiplayer', 'Military', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Split Screen', 'Violent', 'Online multiplayer', 'cooperative', 'future']",2019-09-10,3.93,4,399,83,97,1312,208,282,65,76,1596,9,2019
