game,developer,number of devs,rating,rating count,metacritic,first dev
No Man's Sky,"['Hello Games', 'Hello Games LTD']",2,3.62,809,70,Hello Games
Ori and the Blind Forest: Definitive Edition,['Moon Studios GmbH'],1,4.39,862,88,Moon Studios GmbH
The Witness,"['Number None', 'Thekla, Inc', 'NVIDIA Lightspeed Studios']",3,4.04,791,87,Number None
Apex Legends,['Respawn Entertainment'],1,3.68,1226,88,Respawn Entertainment
Tom Clancy’s The Division,"['Massive Entertainment', 'Ubisoft']",2,3.71,865,80,Massive Entertainment
What Remains of Edith Finch,['Giant Sparrow'],1,4.37,1141,89,Giant Sparrow
Call of Duty: WWII,['Sledgehammer Games'],1,3.49,572,77,Sledgehammer Games
Jotun: Valhalla Edition,['Thunder Lotus Games'],1,3.08,349,79,Thunder Lotus Games
Overcooked,"['Ghost Town Games Ltd.', 'Team17 Digital']",2,4.1,835,81,Ghost Town Games Ltd.
Quantum Break,['Remedy Entertainment'],1,3.91,750,66,Remedy Entertainment
Resident Evil 7: Biohazard,"['Capcom', 'Capcom U.S.A., Inc.']",2,4.31,911,85,Capcom
Ratchet & Clank (2016),['Insomniac Games'],1,4.04,889,85,Insomniac Games
Kingdom Come: Deliverance,"['Deep Silver', 'Warhorse Studios']",2,4.03,694,71,Deep Silver
Hacknet,['Team Fractal Alligator'],1,3.21,319,82,Team Fractal Alligator
Darkest Dungeon,['Red Hook Studios'],1,4.22,725,84,Red Hook Studios
Borderlands Game of the Year Enhanced,"['Gearbox Software', 'Blind Squirrel Games']",2,3.82,595,78,Gearbox Software
Middle-earth: Shadow of War,"['Monolith Productions', 'Warner Bros. Interactive']",2,3.86,674,82,Monolith Productions
Tales from the Borderlands,['Telltale Games'],1,4.16,735,86,Telltale Games
FINAL FANTASY XV,['Square Enix'],1,3.89,868,82,Square Enix
Divinity: Original Sin - Enhanced Edition,['Larian Studios'],1,4.29,628,94,Larian Studios
The Legend of Zelda: Breath of the Wild,['Nintendo'],1,4.56,1712,97,Nintendo
Fallout Shelter,"['Bethesda Game Studios', 'Bethesda Softworks']",2,3.47,791,63,Bethesda Game Studios
Orwell: Keeping an Eye On You,"['Osmotic Studios', 'Fellow Traveller']",2,3.25,379,77,Osmotic Studios
Assassin's Creed Syndicate,"['Ubisoft Montreal', 'Ubisoft Quebec', 'Ubisoft Singapore']",3,3.68,824,74,Ubisoft Montreal
SUPERHOT,"['SUPERHOT Team', 'SUPERHOT Sp. z o.o.']",2,4.22,791,82,SUPERHOT Team
Kingdom: Classic,"['Licorice', 'Noio']",2,3.44,327,74,Licorice
Devil May Cry 5,['Capcom'],1,4.24,818,88,Capcom
The Flame in the Flood,['The Molasses Flood'],1,2.89,269,73,The Molasses Flood
Rust,['Facepunch Studios'],1,3.38,442,69,Facepunch Studios
Divinity: Original Sin 2,['Larian Studios'],1,4.38,806,95,Larian Studios
Star Wars Jedi: Fallen Order,['Respawn Entertainment'],1,4.12,640,80,Respawn Entertainment
Dead Cells,"['Motion Twin', 'Playdigious', 'Plug In Digital', 'Motion Twin SARL']",4,4.29,826,88,Motion Twin
Sid Meier’s Civilization VI,"['Firaxis', 'Aspyr Media']",2,4.15,690,88,Firaxis
Wolfenstein: The Old Blood,"['Bethesda Softworks', 'Machine Games']",2,4.05,670,76,Bethesda Softworks
Dying Light: The Following - Enhanced Edition,['Techland'],1,4.2,505,87,Techland
SMITE,['Hi-Rez Studios'],1,3.14,444,83,Hi-Rez Studios
Satellite Reign,['5 Lives Studios'],1,2.61,211,75,5 Lives Studios
Killing Floor 2,['Tripwire Interactive'],1,3.51,496,75,Tripwire Interactive
Uncharted: The Lost Legacy,['Naughty Dog'],1,4.29,804,85,Naughty Dog
Stories: The Path of Destinies,['Spearhead Games'],1,3.23,384,74,Spearhead Games
Pillars of Eternity,['Obsidian Entertainment'],1,3.94,448,89,Obsidian Entertainment
Resident Evil 2,['Capcom'],1,4.46,997,91,Capcom
Yakuza 0,"['SEGA', 'Ryu ga Gotoku Studio']",2,4.33,565,85,SEGA
Resident Evil Revelations 2 / Biohazard Revelations 2,"['Capcom', 'Sony Computer Entertainment America']",2,3.69,441,72,Capcom
Oxenfree,"['Night School Studio', 'Night School Studio LLC', 'Night School Studios']",3,3.91,561,80,Night School Studio
Dark Souls II: Scholar of the First Sin,"['BANDAI NAMCO Entertainment America Inc.', 'FromSoftware']",2,4.14,605,79,BANDAI NAMCO Entertainment America Inc.
Call of Duty: Modern Warfare Remastered,"['Activision', 'Beenox', 'Raven Software']",3,3.99,711,86,Activision
The Elder Scrolls Online: Tamriel Unlimited,"['Bethesda Softworks', 'Zenimax Online Studios']",2,3.47,460,77,Bethesda Softworks
Subnautica,"['Unknown Worlds Entertainment', 'Unknown Worlds Entertainment, Inc.']",2,4.26,671,83,Unknown Worlds Entertainment
ABZU,['Giant Squid'],1,3.97,628,83,Giant Squid
Persona 5,['Atlus'],1,4.38,918,93,Atlus
Sonic Mania,"['SEGA', 'PagodaWest Games', 'Christian Whitehead', 'Headcannon']",4,3.92,552,85,SEGA
The Outer Worlds,['Obsidian Entertainment'],1,4.0,596,80,Obsidian Entertainment
F1 2015,"['Codemasters', 'Feral Interactive']",2,2.73,194,61,Codemasters
Metro Exodus,['4A Games'],1,4.04,668,81,4A Games
Magicka 2,"['Paradox Interactive', 'Pieces Interactive']",2,3.65,413,69,Paradox Interactive
Starbound,['Chucklefish'],1,3.91,476,81,Chucklefish
Kholat,"['IMAGINATION S.C.', 'IMGN.PRO']",2,2.67,256,64,IMAGINATION S.C.
The Order: 1886,['Ready At Dawn'],1,3.75,675,63,Ready At Dawn
Prison Architect,"['Double Eleven', 'Introversion Software']",2,3.82,314,83,Double Eleven
Control,"['505 Games', 'Remedy Entertainment']",2,4.18,594,84,505 Games
Dying Light,['Techland'],1,4.1,658,74,Techland
Human: Fall Flat,"['505 Games', 'Curve Digital', 'No Brakes Games']",3,3.82,480,70,505 Games
Doki Doki Literature Club!,['Team Salvato'],1,4.06,622,78,Team Salvato
Celeste,['Matt Makes Games Inc.'],1,4.39,862,91,Matt Makes Games Inc.
Star Wars: Battlefront II (2017),['Electronic Arts DICE'],1,3.51,637,74,Electronic Arts DICE
The Awesome Adventures of Captain Spirit,['DONTNOD Entertainment'],1,3.64,567,77,DONTNOD Entertainment
RiME,"['QLOC', 'Tequila Works', 'Grey Box']",3,3.72,564,78,QLOC
Evolve Stage 2,['Turtle Rock Studios'],1,2.49,286,77,Turtle Rock Studios
Life is Strange: Before The Storm,"['Square Enix', 'Deck Nine']",2,3.93,695,77,Square Enix
The Red Solstice,['Ironward'],1,2.35,128,74,Ironward
