game,developer,number of devs,rating,rating count,metacritic,first dev
Everybody's Gone to the Rapture,"['Sony Interactive Entertainment', 'The Chinese Room']",2,3.36,348,76,Sony Interactive Entertainment
Gears of War 4,['The Coalition'],1,3.92,426,85,The Coalition
Spyro Reignited Trilogy,"['Activision', 'Toys for Bob', 'Iron Galaxy']",3,4.15,234,80,Activision
Downwell,"['Devolver Digital', 'Moppin']",2,3.89,321,81,Devolver Digital
Lovers in a Dangerous Spacetime,"['Asteroid Base Inc', 'Asteroid Base', 'Asteroid Base Inc.']",3,3.54,268,80,Asteroid Base Inc
Tricky Towers,"['WeirdBeard', 'WEIRDBEARD B.V.', 'Marcus Dobler Applications UG (haftungsbeschränkt)']",3,3.59,273,80,WeirdBeard
Shadowrun: Hong Kong - Extended Edition,['Harebrained Schemes'],1,3.8,154,81,Harebrained Schemes
OlliOlli2: Welcome to Olliwood,"['Roll7', 'Roll 7']",2,3.32,199,82,Roll7
Pyre,['Supergiant Games'],1,4.21,308,84,Supergiant Games
Battlefield Hardline,"['Electronic Arts', 'Visceral Games', 'Electronic Arts DICE']",3,3.19,373,72,Electronic Arts
Tom Clancy’s The Division 2,"['Massive Entertainment', 'Ubisoft']",2,3.79,421,83,Massive Entertainment
Vampyr,"['DONTNOD Entertainment', 'Focus Home Interactive', 'Saber Interactive', 'DONTNOD']",4,3.51,384,70,DONTNOD Entertainment
NBA 2K16,"['2K', 'Visual Concepts']",2,2.95,233,86,2K
The Turing Test,"['Bulkhead Interactive', 'BULKHEAD INTERACTIVE LIMITED']",2,3.59,192,74,Bulkhead Interactive
Kingdom Hearts III,['Square Enix'],1,3.82,341,82,Square Enix
A Hat in Time,"['Gears for Breakfast', 'Humble Bundle, Inc.']",2,4.35,288,77,Gears for Breakfast
Tyranny,['Obsidian Entertainment'],1,4.11,272,80,Obsidian Entertainment
Mutant Year Zero: Road to Eden,"['Funcom Oslo A/S', 'The Bearded Ladies Consulting', 'The Bearded Ladies']",3,3.79,306,78,Funcom Oslo A/S
Battlefield V,"['Electronic Arts', 'Electronic Arts DICE', 'Uprise']",3,3.57,434,77,Electronic Arts
Owlboy,"['D-Pad Studio', 'D-Pad Studios']",2,3.8,220,88,D-Pad Studio
Moonlighter,"['11 Bit Studios', 'Digital Sun']",2,3.83,241,80,11 Bit Studios
Kathy Rain,"['Clifftop Games', 'Raw Fury']",2,2.76,90,77,Clifftop Games
Resident Evil HD Remaster,['Capcom'],1,4.26,292,82,Capcom
Darksiders III,"['Gunfire Games', 'THQ Nordic']",2,3.42,287,68,Gunfire Games
Portal Knights,"['505 Games', 'Keen Games']",2,3.02,245,72,505 Games
Life is Strange 2,['DONTNOD Entertainment'],1,3.81,301,76,DONTNOD Entertainment
Faeria,['Abrakam SA'],1,2.92,139,80,Abrakam SA
The Banner Saga 2,"['Stoic', 'Versus Evil']",2,4.18,221,82,Stoic
Mini Metro,"['Dinosaur Polo Club', 'Playdigious', 'Radial Games']",3,4.1,280,77,Dinosaur Polo Club
Pathologic Classic HD,"['General Arcade', 'Ice-Pick Lodge']",2,3.87,131,76,General Arcade
Keep Talking and Nobody Explodes,"['Steel Crate Games', 'STEEL CRATE GAMES, INC.']",2,4.24,223,67,Steel Crate Games
DiRT Rally 2.0,['Codemasters'],1,3.5,106,83,Codemasters
Two Point Hospital,"['Two Point Studios', 'GAMESDROP LTD']",2,3.78,182,84,Two Point Studios
EA SPORTS FIFA 16,"['Electronic Arts', 'Electronic Arts Canada']",2,3.27,286,79,Electronic Arts
FIFA 19,['Electronic Arts Vancouver'],1,3.39,399,80,Electronic Arts Vancouver
Crossout,['Targem Games'],1,2.85,247,68,Targem Games
Horizon Chase Turbo,['Aquiris Game Studio'],1,3.33,205,78,Aquiris Game Studio
Halo 5: Guardians,['343 Industries'],1,3.77,338,84,343 Industries
Divide By Sheep,"['Denis Novikov', 'tinyBuild', 'Victor Solodilov']",3,2.46,93,83,Denis Novikov
Fallout 76,['Bethesda Game Studios'],1,2.54,283,51,Bethesda Game Studios
SteamWorld Heist,"['Image & Form', 'Image & Form International AB']",2,3.96,190,81,Image & Form
ZOMBI,"['Straight Right', 'Ubisoft']",2,2.83,251,65,Straight Right
Night in the Woods,"['Finji', 'Infinite Fall', 'bombsfall', 'InfiniteAmmo']",4,4.3,355,88,Finji
Surviving Mars,"['Haemimont Games', 'Paradox Interactive']",2,3.71,199,75,Haemimont Games
RAGE 2,"['Avalanche Studios', 'id Software']",2,3.19,361,71,Avalanche Studios
LET IT DIE,"['Gungho Online', 'Grasshopper Manufacture', 'SUPERTRICK  GAMES,Inc.']",3,3.08,230,72,Gungho Online
Gran Turismo Sport,['Polyphony Digital'],1,3.98,393,75,Polyphony Digital
Project CARS,['Slightly Mad Studios'],1,3.53,161,83,Slightly Mad Studios
Forza Horizon 3,['Playground Games'],1,4.34,418,88,Playground Games
Victor Vran,['Haemimont Games'],1,3.38,155,75,Haemimont Games
Sherlock Holmes: The Devil's Daughter,['Frogwares'],1,3.71,162,65,Frogwares
Return Of The Obra Dinn,"['3909', 'Lucas Pope', 'dukope']",3,4.32,336,88,3909
Super Smash Bros. Ultimate,"['Nintendo', 'Bandai Namco Entertainment', 'Sora Ltd.']",3,4.36,688,93,Nintendo
Graveyard Keeper,"['Lazy Bear Games', 'tinyBuild']",2,3.68,195,68,Lazy Bear Games
Ni no Kuni II: Revenant Kingdom,"['BANDAI NAMCO Entertainment America Inc.', 'Level 5']",2,3.89,287,82,BANDAI NAMCO Entertainment America Inc.
Tearaway Unfolded,['Media Molecule'],1,3.72,263,81,Media Molecule
The Final Station,"['Andrey Rumak', 'Do My Best', 'Oleg Sergeev', 'tinyBuild']",4,3.84,215,76,Andrey Rumak
Call of Duty: Black Ops 4,"['Beenox', 'Raven Software', 'Treyarch']",3,3.51,350,84,Beenox
Blasphemous,['The Game Kitchen'],1,4.01,150,78,The Game Kitchen
Not A Hero,"['Devolver Digital', 'Roll7', 'Roll 7']",3,3.29,177,75,Devolver Digital
Nuclear Throne,['Vlambeer'],1,4.08,170,88,Vlambeer
Slime Rancher,"['Monomi Park', 'Monomi Park, LLC']",2,3.79,234,81,Monomi Park
Pony Island,['Daniel Mullins Games'],1,4.03,187,86,Daniel Mullins Games
Fortified,['Clapfoot'],1,2.07,102,66,Clapfoot
The Escapists,"['Mouldy Toof Studios', 'Team17 Digital']",2,3.45,143,71,Mouldy Toof Studios
Total War: WARHAMMER,"['Creative Assembly', 'Feral Interactive']",2,3.99,183,86,Creative Assembly
Mark of the Ninja: Remastered,['Klei Entertainment'],1,4.18,193,89,Klei Entertainment
Planet Coaster,['Frontier Developments'],1,4.0,172,84,Frontier Developments
Sunless Sea,['Failbetter Games'],1,3.84,148,81,Failbetter Games
Katana ZERO,['Askiisoft'],1,4.42,349,83,Askiisoft
Yooka-Laylee,"['Playtonic Games', 'Team17 Digital']",2,3.03,146,73,Playtonic Games
TALES OF BERSERIA,"['BANDAI NAMCO Entertainment America Inc.', 'Bandai Namco Entertainment']",2,3.99,159,80,BANDAI NAMCO Entertainment America Inc.
Orcs Must Die! Unchained,['Robot Entertainment'],1,2.97,158,87,Robot Entertainment
Overwatch,"['Blizzard Entertainment, Inc.']",1,4.24,627,91,"Blizzard Entertainment, Inc."
Old Man's Journey,['Broken Rules'],1,3.58,157,77,Broken Rules
Zombie Army Trilogy,['Rebellion'],1,3.3,120,72,Rebellion
Salt and Sanctuary,"['Ska Studios', 'SKA STUDIOS LLC']",2,3.88,206,84,Ska Studios
Need for Speed Payback,['Ghost Games'],1,3.25,313,61,Ghost Games
Armello,"['League of Geeks', 'LEAGUE OF GEEKS PTY LTD']",2,3.58,138,75,League of Geeks
Overcooked! 2,"['Ghost Town Games Ltd.', 'Team17 Digital']",2,4.25,311,81,Ghost Town Games Ltd.
The Council,['Big Bad Wolf'],1,3.67,157,76,Big Bad Wolf
American Truck Simulator,['SCS Software'],1,3.92,136,76,SCS Software
Party Hard,"['Kverta', 'Pinokl Games', 'tinyBuild']",3,3.55,156,64,Kverta
Mario Kart 8 Deluxe,['Nintendo'],1,4.4,609,92,Nintendo
Call of Duty: Infinite Warfare,['Infinity Ward'],1,3.54,308,73,Infinity Ward
Project CARS 2,['Slightly Mad Studios'],1,3.78,116,86,Slightly Mad Studios
The Walking Dead: Michonne,['Telltale Games'],1,3.31,242,66,Telltale Games
Outer Wilds,"['Mobius Digital, LLC', 'Mobius Digital']",2,4.18,185,84,"Mobius Digital, LLC"
Bloodstained: Ritual of the Night,"['505 Games', 'Armature Studio', 'Inti Creates', 'Dico', 'ArtPlay']",5,4.0,218,81,505 Games
Pathfinder: Kingmaker,['Owlcat Games'],1,3.94,135,73,Owlcat Games
Dead Rising 4,['Capcom Vancouver'],1,3.18,126,74,Capcom Vancouver
Homeworld Remastered Collection,"['Gearbox Software', 'Aspyr Media']",2,4.07,113,86,Gearbox Software
Homefront: The Revolution,"['Dambuster Studios', 'Deep Silver']",2,2.99,211,54,Dambuster Studios
DRAGON BALL FighterZ,"['Arc System Works', 'BANDAI NAMCO Entertainment America Inc.', 'Arc System Works Co.']",3,4.23,266,86,Arc System Works
Mega Man Legacy Collection / ロックマン クラシックス コレクション,"['Capcom', 'Capcom U.S.A., Inc.', 'Digital Eclipse']",3,3.68,116,85,Capcom
Batman: The Enemy Within,['Telltale Games'],1,3.79,256,68,Telltale Games
State of Decay 2,['Undead Labs'],1,3.16,268,68,Undead Labs
Poly Bridge,"['Dry Cactus', 'Dry Cactus Limited']",2,3.4,112,73,Dry Cactus
The Walking Dead: A New Frontier,['Telltale Games'],1,3.54,311,71,Telltale Games
Dishonored Definitive Edition,['Arkane Studios'],1,4.37,294,78,Arkane Studios
Hearts of Iron IV,['Paradox Development Studio'],1,4.18,152,83,Paradox Development Studio
Iconoclasts,"['Joakim Sandberg', 'Bifrost Entertainment Ltd']",2,3.76,259,86,Joakim Sandberg
Anthem,"['BioWare', 'Electronic Arts']",2,2.7,317,59,BioWare
WipEout Omega Collection,['Sony Interactive Entertainment'],1,3.58,200,85,Sony Interactive Entertainment
The Deadly Tower of Monsters,['ACE Team'],1,3.24,151,73,ACE Team
Jurassic World Evolution,"['Frontier Developments', 'Frontier Developments PLC']",2,3.62,154,71,Frontier Developments
Minit,"['Devolver Digital', 'JW, Kitty, Jukio, and Dominik', 'JW, Kitty, Jukio, and Dom', 'and Dom', 'Jukio', 'JW', 'Kitty']",7,3.85,165,78,Devolver Digital
Battle Chasers: Nightwar,"['Airship Syndicate', 'HandyGames', 'THQ Nordic']",3,3.71,144,79,Airship Syndicate
Planescape: Torment: Enhanced Edition,"['Beamdog', 'Black Isle Studios', 'Overhaul Games']",3,4.31,147,85,Beamdog
Last Day of June,"['505 Games', 'Ovosonico']",2,3.31,86,79,505 Games
Just Cause 4,"['Avalanche Studios', 'Square Enix']",2,3.04,204,68,Avalanche Studios
Burnout Paradise Remastered,['Electronic Arts'],1,3.94,231,80,Electronic Arts
Late Shift,"['CtrlMovie', 'Wales Interactive']",2,3.54,186,80,CtrlMovie
Worms W.M.D,['Team17 Digital'],1,3.74,121,79,Team17 Digital
Baba Is You,"['Hempuli Oy', 'Hempuli']",2,4.4,256,86,Hempuli Oy
"Gremlins, Inc.","['Alexey Bokulev', 'Charlie Oscar Lima Tango Interactive Entertainment', 'Sergei Klimov']",3,3.63,90,75,Alexey Bokulev
Guacamelee! 2,['DrinkBox Studios'],1,4.18,140,85,DrinkBox Studios
12 is Better Than 6,['Ink Stains Games'],1,3.45,107,66,Ink Stains Games
Gears of War: Ultimate Edition,"['Epic Games', 'The Coalition']",2,4.1,255,78,Epic Games
Shenmue I & II,"['d3t', 'SEGA', 'D3T Limited']",3,3.58,62,75,d3t
Styx: Shards of Darkness,['Cyanide Studio'],1,3.36,102,72,Cyanide Studio
Neon Chrome,"['10tons Ltd', '10tons']",2,2.99,111,74,10tons Ltd
Hue,"['Curve Digital', 'Fiddlesticks Games', 'Serkan Binici', 'Fiddlesticks']",4,3.32,190,79,Curve Digital
Untitled Goose Game,['House House'],1,4.1,289,80,House House
The Escapists 2,"['Mouldy Toof Studios', 'Team17 Digital']",2,3.42,107,74,Mouldy Toof Studios
Duck Game,"['Adult Swim', 'Landon Podbielski']",2,4.22,158,82,Adult Swim
MASSIVE CHALICE,['Double Fine Productions'],1,3.17,102,73,Double Fine Productions
FIFA 20,"['Electronic Arts Vancouver', 'Electronic Arts Sports']",2,3.11,200,68,Electronic Arts Vancouver
SoulCalibur VI,"['BANDAI NAMCO Entertainment America Inc.', 'Bandai Namco Entertainment']",2,3.79,107,83,BANDAI NAMCO Entertainment America Inc.
Evoland 2,"['Playdigious', 'Plug In Digital', 'Shiro Games']",3,3.66,96,74,Playdigious
Offworld Trading Company,['Mohawk Games'],1,3.48,71,78,Mohawk Games
Endless Space 2,['Amplitude Studios'],1,3.93,135,82,Amplitude Studios
Uncanny Valley,"['Cowardly Creations', 'Digerati Distribution']",2,3.0,100,67,Cowardly Creations
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,"['BANDAI NAMCO Entertainment America Inc.', 'CyberConnect2 Co.']",2,4.07,232,80,BANDAI NAMCO Entertainment America Inc.
Obduction,"['Cyan Worlds', 'Cyan, Inc.']",2,3.02,91,76,Cyan Worlds
Reigns,"['Devolver Digital', 'Nerial']",2,3.81,195,77,Devolver Digital
ReCore,"['Armature Studio', 'Comcept']",2,3.37,225,60,Armature Studio
CAYNE,['THE BROTHERHOOD'],1,2.61,66,75,THE BROTHERHOOD
EVERSPACE,['ROCKFISH Games'],1,3.34,134,80,ROCKFISH Games
Hard Reset Redux,"['Flying Wild Hog', 'Gambitious']",2,3.41,69,73,Flying Wild Hog
Mother Russia Bleeds,"['Devolver Digital', 'Le Cartel Studio']",2,3.57,159,70,Devolver Digital
Momodora: Reverie Under the Moonlight,"['ACTIVE GAMING MEDIA INC', 'Bombservice']",2,3.94,103,82,ACTIVE GAMING MEDIA INC
Deponia Doomsday,['Daedalic Entertainment'],1,4.21,109,76,Daedalic Entertainment
Far Cry New Dawn,"['Ubisoft', 'Ubisoft Montreal']",2,3.43,253,73,Ubisoft
Vertiginous Golf,['Kinelco & Lone Elk Creative'],1,2.76,48,63,Kinelco & Lone Elk Creative
Moon Hunters,"['JEUX KITFOX INC.', 'Kitfox Games']",2,3.39,79,62,JEUX KITFOX INC.
Hidden Folks,"['Adriaan de Jongh', 'Sylvain Tegroeg']",2,3.79,147,78,Adriaan de Jongh
Torment: Tides of Numenera,['Techland'],1,3.61,135,81,Techland
Tales of Zestiria,"['BANDAI NAMCO Entertainment America Inc.', 'Bandai Namco Entertainment']",2,3.61,150,77,BANDAI NAMCO Entertainment America Inc.
Divinity: Original Sin 2 - Definitive Edition,['Larian Studios'],1,4.42,297,93,Larian Studios
Chroma Squad,"['BANDAI NAMCO Entertainment America Inc.', 'Behold Studios']",2,3.52,66,75,BANDAI NAMCO Entertainment America Inc.
Batman: The Telltale Series,['Telltale Games'],1,3.66,168,79,Telltale Games
The Sexy Brutale,"['Cavalier Game Studios', 'Tequila Works', 'Tequila Works S.L.']",3,3.66,102,83,Cavalier Game Studios
DRAGON QUEST XI: Echoes of an Elusive Age,"['Square Enix', 'Armor Project']",2,4.33,226,86,Square Enix
Virginia,"['505 Games', 'Variable State']",2,3.26,168,74,505 Games
I am Bread,['Bossa Studios'],1,3.17,123,60,Bossa Studios
Epistory - Typing Chronicles,"['Fishing Cactus', 'Plug In Digital']",2,3.78,77,74,Fishing Cactus
Shadow of the Colossus  (2018),"['SCE Japan Studio', 'Bluepoint Games']",2,4.33,347,91,SCE Japan Studio
Remnant: From the Ashes,"['Gunfire Games', 'PERFECT WORLD ENTERTAINMENT INC.']",2,3.58,149,79,Gunfire Games
Ken Follett's The Pillars of the Earth,['Daedalic Entertainment'],1,3.72,51,79,Daedalic Entertainment
Thronebreaker: The Witcher Tales,"['CD PROJEKT RED', 'CD PROJEKT SA']",2,4.07,242,84,CD PROJEKT RED
Assassin's Creed III: Remastered,['Ubisoft Montreal'],1,3.44,203,71,Ubisoft Montreal
"Warhammer 40,000: Dawn of War III","['Relic Entertainment', 'Feral Interactive']",2,3.15,98,77,Relic Entertainment
Half-Life 2: Update,['Valve Software'],1,4.19,43,96,Valve Software
DiRT 4,"['Codemasters', 'Feral Interactive']",2,3.63,150,78,Codemasters
Beat Saber,"['Hyperbolic Magnetism', 'Beat Games', 'Beat Games s.r.o.']",3,4.38,296,90,Hyperbolic Magnetism
Hard West,"['CreativeForge Games', 'Creative Forge Games', 'Good Shepherd Entertainment', 'CreativeForge Games S.A.']",4,3.38,113,73,CreativeForge Games
ClusterTruck,"['Landfall', 'tinyBuild', 'Landfall Games']",3,3.78,166,76,Landfall
Unravel Two,"['Coldwood Interactive', 'Electronic Arts']",2,4.01,228,79,Coldwood Interactive
FINAL FANTASY XV WINDOWS EDITION,['Square Enix'],1,3.91,182,81,Square Enix
Sundered,['Thunder Lotus Games'],1,3.16,80,76,Thunder Lotus Games
Grey Goo,['Petroglyph'],1,3.49,51,77,Petroglyph
Hitman GO: Definitive Edition,['Square Enix Montréal'],1,3.63,119,72,Square Enix Montréal
Wolfenstein: Youngblood,"['Arkane Studios', 'Bethesda Softworks', 'Machine Games']",3,2.52,203,66,Arkane Studios
Mighty No. 9,"['Abstraction Games', 'Comcept', 'Engine Software', 'Inti Creates', '8-4']",5,2.35,147,52,Abstraction Games
Card Hunter,['Blue Manchu'],1,3.3,80,80,Blue Manchu
The Dark Pictures: Man of Medan,['Supermassive Games'],1,3.46,216,71,Supermassive Games
Void Bastards,['Blue Manchu'],1,3.76,176,78,Blue Manchu
Call of Duty: Modern Warfare (2019),"['Activision', 'Beenox', 'Infinity Ward']",3,3.74,241,80,Activision
Else Heart.Break(),"['El Huervo / Niklas Åkerblad', 'Erik Svedäng', 'Johannes Gotlén', 'Oscar ""Ratvader"" Rydelius', 'Tobias Sjögren', 'Erik Svedäng AB']",6,2.34,44,79,El Huervo / Niklas Åkerblad
Q.U.B.E. 2,"['Toxic Games', 'Trapped Nerve Games']",2,3.52,101,75,Toxic Games
Dauntless,"['Phoenix Games', 'ISOLGAMES']",2,3.1,238,78,Phoenix Games
Pillars of Eternity II: Deadfire,['Obsidian Entertainment'],1,4.21,167,82,Obsidian Entertainment
Axiom Verge,['Thomas Happ Games LLC'],1,3.99,180,80,Thomas Happ Games LLC
Human Resource Machine,"['Experimental Gameplay Group', 'Tomorrow Corporation']",2,3.95,129,78,Experimental Gameplay Group
Phantom Doctrine,"['CreativeForge Games', 'Gambitious', 'Creative Forge Games']",3,3.45,53,71,CreativeForge Games
Devil Daggers,['Sorath'],1,3.84,101,83,Sorath
Heroes of Might & Magic III - HD Edition,"['DotEmu', 'Ubisoft']",2,4.21,202,65,DotEmu
Stories Untold,['No Code'],1,3.88,115,81,No Code
Battleborn,"['2K', 'Gearbox Software']",2,2.76,123,69,2K
The Jackbox Party Pack 2,"['Jackbox Games', 'Jackbox Games, Inc.']",2,4.12,125,76,Jackbox Games
Volume,['Bithell Games'],1,2.93,59,80,Bithell Games
Kona,"['Deep Silver', 'Parabole']",2,3.37,72,73,Deep Silver
Book of Demons,['Thing Trunk'],1,3.86,89,72,Thing Trunk
Secret World Legends,['Funcom'],1,2.83,75,76,Funcom
Nex Machina,['Housemarque'],1,4.01,101,89,Housemarque
We Happy Few,"['Compulsion Games', 'Gearbox Publishing']",2,3.06,176,64,Compulsion Games
Block N Load,"['Artplant', 'Jagex']",2,2.37,68,72,Artplant
Rising Storm 2: VIETNAM,"['Antimatter Games', 'Tripwire Interactive']",2,3.82,71,81,Antimatter Games
FINAL FANTASY TYPE-0 HD,['Square Enix'],1,3.19,134,69,Square Enix
BattleTech,['Harebrained Schemes'],1,3.64,90,78,Harebrained Schemes
Gravity Rush 2,['Sony Interactive Entertainment'],1,3.95,189,80,Sony Interactive Entertainment
911 Operator,"['Jutsu Games', 'PlayWay', 'Games Operators', 'Games Operators S.A.']",4,3.48,69,68,Jutsu Games
Tumblestone,['The Quantum Astrophysicists Guild'],1,2.56,41,91,The Quantum Astrophysicists Guild
Verdun,"['Blackmill Games', 'M2H']",2,3.46,76,70,Blackmill Games
Do Not Feed the Monkeys,"['Alawar Entertainment', 'Fictiorama Studios']",2,3.79,97,79,Alawar Entertainment
Pathologic 2,['Ice-Pick Lodge'],1,4.01,110,66,Ice-Pick Lodge
GRIP: Combat Racing,"['Caged Element Inc.', 'Wired Productions', 'Caged Element']",3,2.99,91,68,Caged Element Inc.
SUPERHOT VR,"['SUPERHOT Team', 'SUPERHOT Sp. z o.o.']",2,4.37,228,85,SUPERHOT Team
Gigantic,"['Motiga', 'Motiga Inc.']",2,2.85,100,75,Motiga
EA SPORTS UFC 3,['Electronic Arts'],1,3.69,177,76,Electronic Arts
"Cook, Serve, Delicious! 2!!",['Vertigo Gaming'],1,3.55,64,74,Vertigo Gaming
The Red Strings Club,['Deconstructeam'],1,4.25,156,80,Deconstructeam
GoNNER,['Art in Heart'],1,3.02,54,81,Art in Heart
The Descendant,['Gaming Corps AB'],1,2.08,39,59,Gaming Corps AB
Children of Morta,['Dead Mage'],1,4.13,105,80,Dead Mage
Need for Speed Heat,['Ghost Games'],1,3.1,113,73,Ghost Games
Shelter 2,['Might and Delight'],1,3.34,67,58,Might and Delight
Galactic Civilizations III,['Stardock Entertainment'],1,3.55,38,81,Stardock Entertainment
Duelyst,['Counterplay Games Inc.'],1,3.36,78,82,Counterplay Games Inc.
Wuppo,"['Knuist & Perzik', 'SOEDESCO Publishing', 'Perzik', 'Knuist']",4,3.08,39,80,Knuist & Perzik
Move or Die,"['Reverb Publishing', 'Those Awesome Guys']",2,3.77,90,80,Reverb Publishing
Burly Men at Sea,"['Brain&Brain', 'Seaven Studio', 'Brain&Brain LLC', 'Brain & Brain']",4,2.83,155,82,Brain&Brain
Aviary Attorney,['Sketchy Logic'],1,3.48,27,77,Sketchy Logic
Sine Mora EX,"['Digital Reality', 'Gyroscope Games', 'THQ Nordic', 'Grasshopper Manufacture']",4,3.28,46,82,Digital Reality
RUNNING WITH RIFLES,['Osumia Games'],1,3.32,44,78,Osumia Games
SteamWorld Dig 2,"['Image & Form', 'Image and Form', 'Image & Form Games', 'Image', 'Form International AB']",5,4.17,221,88,Image & Form
ACE COMBAT 7: SKIES UNKNOWN,"['BANDAI NAMCO Entertainment America Inc.', 'Project Aces', 'Bandai Namco Entertainment']",3,4.02,132,79,BANDAI NAMCO Entertainment America Inc.
Seven: The Days Long Gone,"[""Fool's Theory"", 'IMGN.PRO']",2,3.24,48,68,Fool's Theory
Friday the 13th: The Game,"['GUN MEDIA HOLDINGS, INC', 'IllFonic']",2,3.14,154,61,"GUN MEDIA HOLDINGS, INC"
World of Warships,"['Lesta Studio', 'Wargaming Group Limited', 'Wargaming.net']",3,3.43,78,81,Lesta Studio
Windward,"['Tasharen Entertainment Inc.', 'Tasharen Entertainment']",2,2.71,45,61,Tasharen Entertainment Inc.
Silence,['Daedalic Entertainment'],1,3.28,32,75,Daedalic Entertainment
Seasons After Fall,"['Focus Home Interactive', 'Swing Swing Submarine']",2,3.29,85,75,Focus Home Interactive
The Jackbox Party Pack 3,"['Jackbox Games', 'Jackbox Games, Inc.']",2,4.2,153,80,Jackbox Games
LEGO Jurassic World,"[""Traveller's Tales"", 'Warner Bros. Interactive', 'Feral Interactive', 'TT Games']",4,3.7,108,72,Traveller's Tales
Crackdown 3,"['Sumo Digital', 'Reagent Games', 'Cloudgine']",3,2.85,191,57,Sumo Digital
Splasher,"['Plug In Digital Ltd', 'Splashteam']",2,3.33,27,79,Plug In Digital Ltd
Scanner Sombre,['Introversion Software'],1,2.91,32,67,Introversion Software
Dex,"['Badland Games, S.L.', 'Dreadlocks Ltd.', 'Dreadlocks Ltd']",3,3.52,78,62,"Badland Games, S.L."
Samorost 3,['Amanita Design'],1,4.13,91,80,Amanita Design
Crazy Machines 3,['Fakt Software'],1,3.05,38,71,Fakt Software
Bad North,"['Raw Fury', 'Plausible concept']",2,3.63,78,70,Raw Fury
How to Survive 2,"['505 Games', 'Eko Software']",2,3.05,58,69,505 Games
Everything,"[""David O'Reilly"", 'David OReilly']",2,3.7,127,78,David O'Reilly
NBA 2K17,"['2K', 'Visual Concepts']",2,3.33,95,90,2K
World War Z (2019),['Saber Interactive'],1,3.47,169,70,Saber Interactive
Battle Chef Brigade,"['Adult Swim', 'Trinket Studios']",2,3.48,60,81,Adult Swim
WildStar,['Carbine Studios'],1,3.24,86,82,Carbine Studios
Blair Witch,['Bloober Team S.A.'],1,3.1,147,66,Bloober Team S.A.
Nova-111,"['Carbon', 'Curve Digital', 'Funktronic Labs']",3,2.4,70,68,Carbon
Aragami,"['Lince Works', 'LINCE WORKS S.L.']",2,3.54,107,71,Lince Works
Project Highrise,"['Kalypso Media', 'SomaSim', 'Kalypso Media Mobile GmbH']",3,3.66,67,73,Kalypso Media
Fortnite Battle Royale,['Epic Games'],1,3.19,356,82,Epic Games
Dandara,"['Raw Fury', 'Long Hat House']",2,3.22,58,75,Raw Fury
Greedfall,['Spiders'],1,3.54,128,74,Spiders
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,"['SANDLOT', 'XSEED JKS Inc']",2,3.62,70,79,SANDLOT
Distrust,"['Alawar Entertainment', 'Cheerdealers']",2,3.13,60,75,Alawar Entertainment
Thumper,"['Drool', 'Drool LLC']",2,4.21,176,85,Drool
Immortal Redneck,"['Crema', 'Crema Games', 'CremaGames S.L']",3,3.6,49,69,Crema
Thimbleweed Park,"['Terrible Toybox', 'Terrible Toybox, Inc.']",2,3.99,150,84,Terrible Toybox
Fire Emblem: Three Houses,"['Intelligent Systems', 'Koei Tecmo']",2,4.35,264,89,Intelligent Systems
NBA Playgrounds,"['Saber Interactive', 'Mad Dog Games LLC']",2,3.0,68,67,Saber Interactive
Call of Cthulhu,['Cyanide Studio'],1,3.54,153,66,Cyanide Studio
War for the Overworld,['Brightrock Games'],1,2.93,38,65,Brightrock Games
Forza Motorsport 6,['Turn 10 Studios'],1,4.07,117,87,Turn 10 Studios
Beat Cop,"['11 Bit Studios', 'Pixel Crow']",2,3.92,63,71,11 Bit Studios
ELEX,"['Piranha Bytes', 'THQ Nordic']",2,3.35,164,59,Piranha Bytes
Tharsis,['Choice Provisions'],1,2.96,27,61,Choice Provisions
Atlas Reactor,['Trion Worlds'],1,2.98,58,81,Trion Worlds
Zombie Night Terror,"['NoClip', 'Plug In Digital', 'Good Shepherd Entertainment']",3,3.36,43,81,NoClip
The Dwarves,"['KING Art', 'THQ Nordic']",2,3.19,36,61,KING Art
Yakuza Kiwami 2,"['SEGA', 'Ryu ga Gotoku Studio']",2,4.31,156,84,SEGA
Agents of Mayhem,"['Deep Silver', 'Volition']",2,2.93,104,70,Deep Silver
Age of Empires II: Definitive Edition,"['Wicked Witch', 'Tantalus', 'Forgotten Empires']",3,4.17,88,84,Wicked Witch
Monster Prom,['Beautiful Glitch'],1,3.88,70,73,Beautiful Glitch
Total War: WARHAMMER II,['Creative Assembly'],1,4.28,117,86,Creative Assembly
Rock of Ages 2: Bigger & Boulder,['ACE Team'],1,3.39,45,77,ACE Team
WWE 2K16,"['2K', 'Visual Concepts', ""Yuke's"", ""Yuke's Games""]",4,2.71,95,74,2K
Overture,['Black Shell Games'],1,2.06,18,76,Black Shell Games
State of Mind,['Daedalic Entertainment'],1,3.38,32,68,Daedalic Entertainment
NBA 2K20,"['2K', 'Visual Concepts']",2,3.2,67,76,2K
Death's Gambit,"['Adult Swim', 'White Rabbit']",2,3.5,45,72,Adult Swim
CODE VEIN,"['BANDAI NAMCO Entertainment America Inc.', 'Bandai Namco Entertainment']",2,3.67,74,72,BANDAI NAMCO Entertainment America Inc.
